x,y,wide_right,wide_left
3.013363,7.058418,7.340,7.546
6.987881,10.094372,7.319,7.527
10.962627,13.130078,7.299,7.508
14.93765,16.165486,7.278,7.490
18.912999,19.200539,7.257,7.471
22.888722,22.235186,7.236,7.452
26.864866,25.269372,7.215,7.433
30.841482,28.303044,7.194,7.414
34.818617,31.336147,7.174,7.395
38.796321,34.368629,7.153,7.376
42.77464,37.400436,7.132,7.357
46.753625,40.431514,7.111,7.339
50.733316,43.461817,7.090,7.320
54.713348,46.491742,7.069,7.301
58.692715,49.522386,7.049,7.282
62.670354,52.554907,7.028,7.263
66.645203,55.590462,7.007,7.244
70.616199,58.630208,6.986,7.225
74.58228,61.675303,6.965,7.206
78.542384,64.726905,6.944,7.188
82.495447,67.786171,6.924,7.169
86.442205,70.852374,6.903,7.150
90.3922,73.915556,6.882,7.131
94.357667,76.962933,7.068,7.129
98.350843,79.981720,7.314,7.131
102.377621,82.967133,7.560,7.134
106.319064,86.071731,7.893,7.858
109.906659,89.592594,8.558,9.280
112.185302,93.836804,9.399,10.056
112.2516,98.614803,9.566,9.892
110.422546,103.228517,9.407,9.583
107.621534,107.577886,8.818,8.728
104.544866,111.615468,7.803,7.726
101.123624,115.169934,6.743,7.149
97.250766,118.139344,5.905,6.763
93.01498,120.640956,6.044,6.671
88.534782,122.825432,6.256,6.597
83.928687,124.843435,6.468,6.522
79.306133,126.834158,6.652,6.457
74.701709,128.842234,6.652,6.455
70.113167,130.865760,6.653,6.452
65.538004,132.902509,6.653,6.449
60.973715,134.950250,6.654,6.446
56.417795,137.006756,6.654,6.443
51.86774,139.069798,6.655,6.440
47.321045,141.137148,6.655,6.437
42.775206,143.206578,6.656,6.434
38.228111,145.276174,6.656,6.431
33.679365,147.345411,6.657,6.428
29.129043,149.414137,6.657,6.425
24.577217,151.482203,6.658,6.422
20.023963,153.549459,6.658,6.419
15.469353,155.615756,6.659,6.416
10.913462,157.680943,6.659,6.413
6.356364,159.744870,6.660,6.410
1.798132,161.807388,6.660,6.407
-2.761159,163.868347,6.661,6.404
-7.321435,165.927598,6.661,6.401
-11.882624,167.984989,6.662,6.398
-16.44465,170.040372,6.662,6.395
-21.007439,172.093596,6.663,6.392
-25.570919,174.144513,6.663,6.389
-30.135015,176.192971,6.664,6.386
-34.699652,178.238821,6.664,6.383
-39.264693,180.282107,6.665,6.380
-43.829485,182.324415,6.665,6.377
-48.393131,184.368063,6.666,6.375
-52.954732,186.415372,6.666,6.372
-57.51339,188.468666,6.667,6.369
-62.068206,190.530266,6.667,6.366
-66.618282,192.602495,6.668,6.363
-71.16272,194.687675,6.668,6.360
-75.700663,196.788032,6.669,6.357
-80.233075,198.901565,6.669,6.354
-84.763394,201.020523,6.670,6.351
-89.295238,203.136746,6.661,6.377
-93.832223,205.242073,6.644,6.426
-98.377966,207.328341,6.628,6.474
-102.936083,209.387390,6.612,6.523
-107.510192,211.411059,6.457,6.630
-112.103908,213.391186,6.188,6.785
-116.721324,215.317415,6.179,6.750
-121.374017,217.144761,6.319,6.605
-126.079533,218.800630,6.476,6.438
-130.855587,220.211663,6.644,6.257
-135.719821,221.304551,6.490,6.560
-140.67315,222.017939,6.479,6.599
-145.677972,222.318008,6.412,6.470
-150.691279,222.174798,6.219,6.287
-155.670066,221.558350,5.962,6.132
-160.557507,220.425802,5.785,5.812
-165.192353,218.636807,5.798,5.734
-169.395926,216.048811,5.660,5.937
-173.216691,212.836947,5.879,5.977
-176.805139,209.317687,5.926,6.108
-180.260499,205.684710,5.961,6.151
-183.61433,201.970268,5.997,6.194
-186.893632,198.195728,6.033,6.238
-190.1254,194.382455,6.068,6.281
-193.332271,190.548382,6.035,6.259
-196.519444,186.697698,6.001,6.238
-199.687754,182.831159,5.968,6.217
-202.838039,178.949522,5.934,6.195
-205.971136,175.053540,5.901,6.174
-209.087881,171.143970,5.867,6.153
-212.189112,167.221567,5.870,6.105
-215.275665,163.287087,5.936,6.013
-218.348378,159.341284,6.003,5.921
-221.408087,155.384915,6.069,5.828
-224.45563,151.418735,6.135,5.736
-227.491843,147.443499,6.073,5.827
-230.517563,143.459962,5.993,5.943
-233.533627,139.468881,5.914,6.059
-236.540873,135.471010,5.834,6.174
-239.540136,131.467106,5.887,6.168
-242.532255,127.457922,5.963,6.141
-245.519143,123.445086,6.039,6.115
-248.510477,119.436484,6.092,6.085
-251.519333,115.442748,6.114,6.051
-254.558799,111.474522,6.137,6.017
-257.637675,107.538977,6.159,5.984
-260.734029,103.618434,6.125,6.054
-263.812542,99.684382,6.090,6.125
-266.837838,95.708269,6.055,6.197
-269.775364,91.662206,6.032,6.232
-272.620377,87.542480,6.032,6.202
-275.405653,83.375802,6.032,6.171
-278.166355,79.190820,6.032,6.140
-280.937646,75.016181,6.032,6.110
-283.754692,70.880532,6.032,6.079
-286.652655,66.812522,6.058,5.956
-289.6667,62.840798,6.091,5.809
-292.831992,58.994008,6.125,5.716
-296.181848,55.300097,6.014,5.841
-299.723707,51.777158,5.774,6.155
-303.445921,48.436018,5.928,6.014
-307.336399,45.287333,6.026,5.906
-311.383051,42.341763,5.994,5.880
-315.573785,39.609964,6.092,5.667
-319.896511,37.102596,6.261,5.359
-324.339137,34.830314,6.144,5.513
-328.889549,32.803619,6.027,5.667
-333.532029,31.007556,5.910,5.821
-338.243327,29.374047,5.877,5.909
-342.999255,27.828355,6.046,5.836
-347.775621,26.295747,6.216,5.763
-352.551614,24.717169,6.118,5.881
-357.329411,23.140272,5.926,6.065
-362.120768,21.657153,5.797,6.186
-366.937473,20.360061,6.046,5.926
-371.791145,19.338869,6.212,5.762
-376.687921,18.604936,6.170,5.839
-381.627321,18.074890,6.128,5.915
-386.608467,17.659708,6.110,5.911
-391.630099,17.273109,6.102,5.872
-396.67842,16.917815,6.005,5.911
-401.724642,16.702969,5.749,6.086
-406.7391,16.743967,5.611,6.175
-411.692127,17.156208,5.790,5.950
-416.560297,18.020771,6.147,5.533
-421.342745,19.294726,6.196,5.380
-426.043696,20.907146,6.029,5.555
-430.667377,22.787099,6.017,5.709
-435.218848,24.864132,5.823,6.054
-439.713963,27.073952,5.646,6.375
-444.176104,29.356563,5.806,6.239
-448.628805,31.652054,5.966,6.103
-453.095559,33.900670,6.126,5.968
-457.59404,36.063149,6.161,5.951
-462.130294,38.141204,6.190,5.938
-466.708987,40.141419,6.220,5.925
-471.334624,42.070594,6.250,5.913
-475.990984,43.964088,6.280,5.900
-480.620629,45.914041,6.310,5.887
-485.161247,48.019308,6.339,5.875
-489.550525,50.378745,6.369,5.862
-493.729002,53.079333,6.358,5.651
-497.65558,56.131585,6.063,5.749
-501.296436,59.515711,6.227,5.689
-504.617766,63.211843,5.890,6.030
-507.587175,67.199494,5.736,6.180
-510.213598,71.440047,6.058,5.891
-512.552941,75.874278,6.057,5.751
-514.663653,80.441846,6.003,5.738
-516.604186,85.082412,5.905,5.837
-518.426586,89.747281,5.936,5.874
-520.161141,94.427331,5.980,5.905
-521.833516,99.121844,6.024,5.936
-523.469376,103.830101,6.077,5.975
-525.080418,108.553912,6.144,6.027
-526.631128,113.303626,6.211,6.080
-528.076031,118.091397,6.431,6.304
-529.369651,122.929380,6.674,6.552
-530.465804,127.828048,6.915,6.865
-531.309822,132.777795,7.184,7.152
-531.841448,137.755784,7.541,7.308
-532.000329,142.738949,7.607,7.482
-531.726481,147.704243,7.621,7.541
-531.000036,152.630949,7.613,7.423
-529.876563,157.502738,7.222,7.214
-528.419961,162.303760,7.064,6.959
-526.694128,167.018170,6.992,6.680
-524.758828,171.633343,6.759,6.378
-522.648911,176.156063,6.527,6.077
-520.389956,180.600342,6.351,5.949
-518.007523,184.980203,6.236,6.010
-515.527173,189.309669,6.121,6.072
-512.974468,193.602763,6.007,6.133
-510.374969,197.873509,5.934,6.173
-507.754238,202.135931,5.935,6.175
-505.137352,206.403770,5.937,6.177
-502.536483,210.683291,5.938,6.179
-499.949812,214.972648,5.940,6.181
-497.374823,219.269591,5.941,6.183
-494.808997,223.571869,5.943,6.185
-492.249817,227.877231,5.944,6.187
-489.694765,232.183427,5.946,6.189
-487.141323,236.488207,5.947,6.191
-484.586973,240.789319,5.949,6.193
-482.029376,245.084701,5.950,6.195
-479.468215,249.374421,5.952,6.196
-476.904458,253.659898,5.953,6.198
-474.339089,257.942572,5.954,6.200
-471.773095,262.223884,5.956,6.202
