x,y,wide_right,wide_left
-2.236507,4.950065,5.830,5.898
-4.946397,9.150687,5.829,5.903
-7.656518,13.351163,5.829,5.908
-10.366884,17.551485,5.828,5.913
-13.077508,21.751647,5.828,5.906
-15.788401,25.951639,5.828,5.892
-18.499577,30.151454,5.828,5.878
-21.211049,34.351084,5.828,5.863
-23.922829,38.550521,5.828,5.849
-26.63493,42.749756,5.828,5.835
-29.347365,46.948783,5.828,5.821
-32.060147,51.147592,5.828,5.806
-34.773288,55.346176,5.828,5.792
-37.486802,59.544527,5.828,5.778
-40.2007,63.742638,5.828,5.764
-42.914996,67.940499,5.828,5.749
-45.629702,72.138103,5.828,5.735
-48.344832,76.335442,5.828,5.721
-51.060398,80.532509,5.828,5.707
-53.776412,84.729295,5.828,5.692
-56.492888,88.925791,5.828,5.678
-59.209839,93.121991,5.828,5.664
-61.927276,97.317887,5.828,5.649
-64.645213,101.513469,5.828,5.635
-67.363663,105.708731,5.828,5.621
-70.082638,109.903664,5.828,5.607
-72.802152,114.098260,5.828,5.592
-75.522216,118.292512,5.828,5.578
-78.242844,122.486411,5.828,5.564
-80.964048,126.679950,5.828,5.550
-83.685842,130.873120,5.828,5.535
-86.408232,135.065916,5.828,5.521
-89.131032,139.258447,5.828,5.507
-91.85379,143.450973,5.828,5.493
-94.576037,147.643763,5.828,5.478
-97.297305,151.837090,5.828,5.464
-100.017124,156.031223,5.828,5.450
-102.735026,160.226434,5.828,5.435
-105.450542,164.422992,5.828,5.421
-108.163203,168.621169,5.828,5.407
-110.872539,172.821235,5.828,5.393
-113.578083,177.023461,5.828,5.378
-116.279365,181.228118,5.828,5.364
-118.975915,185.435476,5.828,5.350
-121.667267,189.645805,5.828,5.336
-124.352949,193.859377,5.828,5.321
-127.021969,198.082527,5.828,5.307
-129.619855,202.346644,5.833,5.295
-132.080912,206.689585,5.898,5.305
-134.339977,211.148580,5.963,5.315
-136.353919,215.735032,6.028,5.325
-138.108996,220.425881,6.093,5.335
-139.593513,225.195675,5.884,5.267
-140.79933,230.021182,5.606,5.179
-141.74528,234.896008,5.327,5.091
-142.462535,239.821463,5.412,5.154
-142.982228,244.798853,5.633,5.273
-143.310621,249.818885,5.853,5.392
