x,y,wide_right,wide_left
5.658691,-2.006402,5.394,5.212
10.201007,-4.095442,5.325,5.348
14.741723,-6.190119,5.257,5.484
19.286019,-8.279863,5.217,5.573
23.839074,-10.354106,5.239,5.554
28.40602,-12.402369,5.260,5.536
32.988721,-14.420345,5.282,5.517
37.58374,-16.413735,5.304,5.499
42.187156,-18.389152,5.326,5.480
46.795051,-20.353210,5.348,5.461
51.403503,-22.312524,5.370,5.443
56.008614,-24.273676,5.392,5.424
60.607946,-26.241197,5.414,5.405
65.201381,-28.216347,5.435,5.387
69.789007,-30.200095,5.457,5.368
74.370916,-32.193413,5.479,5.350
78.947197,-34.197268,5.501,5.331
83.517939,-36.212631,5.523,5.312
88.083231,-38.240471,5.545,5.294
92.643165,-40.281758,5.567,5.282
97.197829,-42.337461,5.598,5.348
101.747313,-44.408550,5.628,5.414
106.291707,-46.495994,5.659,5.480
110.8311,-48.600763,5.689,5.545
115.365262,-50.724050,5.719,5.611
119.89241,-52.868122,5.750,5.677
124.410296,-55.035573,5.780,5.742
128.916668,-57.228998,5.732,5.668
133.409277,-59.450990,5.651,5.536
137.885873,-61.704142,5.571,5.405
142.344206,-63.991048,5.490,5.273
146.782027,-66.314303,5.410,5.142
151.197084,-68.676499,5.329,5.010
155.587128,-71.080231,5.268,4.896
159.949909,-73.528092,5.259,4.827
164.283177,-76.022676,5.249,4.758
168.584683,-78.566576,5.239,4.689
172.852175,-81.162388,5.230,4.620
177.083405,-83.812703,5.220,4.551
181.276121,-86.520116,5.204,4.552
185.428075,-89.287220,5.186,4.574
189.537017,-92.116610,5.168,4.596
193.600695,-95.010879,5.150,4.619
197.616861,-97.972621,5.133,4.641
201.583264,-101.004429,5.115,4.663
205.497654,-104.108897,5.097,4.686
209.357781,-107.288620,5.014,4.668
213.161396,-110.546189,4.914,4.639
216.90587,-113.884239,4.814,4.609
220.582018,-117.306073,4.759,4.563
224.175114,-120.815558,4.795,4.482
227.67026,-124.416584,4.831,4.401
231.052554,-128.113038,4.868,4.320
234.307097,-131.908807,4.903,4.240
237.419969,-135.807325,4.865,4.251
240.393739,-139.804394,4.826,4.262
243.244655,-143.889482,4.788,4.273
