x,y,wide_right,wide_left
-1.408366,-3.056382,6.481,6.184
-5.264226,-6.239304,6.486,6.182
-9.119557,-9.422896,6.491,6.179
-12.974308,-12.607221,6.496,6.176
-16.828429,-15.792341,6.501,6.174
-20.681872,-18.978319,6.507,6.171
-24.534584,-22.165217,6.512,6.168
-28.386518,-25.353098,6.517,6.166
-32.237637,-28.542005,6.522,6.163
-36.088131,-31.731694,6.527,6.160
-39.938363,-34.921700,6.533,6.158
-43.788704,-38.111548,6.538,6.155
-47.63952,-41.300765,6.543,6.152
-51.491183,-44.488879,6.548,6.150
-55.34406,-47.675415,6.553,6.147
-59.19852,-50.859901,6.558,6.144
-63.054933,-54.041864,6.564,6.142
-66.913666,-57.220830,6.569,6.139
-70.77509,-60.396326,6.574,6.136
-74.639573,-63.567879,6.579,6.134
-78.507483,-66.735016,6.584,6.131
-82.379191,-69.897263,6.590,6.128
-86.254359,-73.055062,6.595,6.126
-90.129808,-76.212537,6.600,6.123
-94.001641,-79.374743,6.605,6.120
-97.865964,-82.546733,6.610,6.118
-101.718878,-85.733562,6.615,6.115
-105.556489,-88.940282,6.621,6.112
-109.374927,-92.171912,6.626,6.110
-113.176119,-95.425905,6.631,6.107
-116.974969,-98.682760,6.636,6.104
-120.788149,-101.920677,6.641,6.102
-124.632327,-105.117854,6.646,6.099
-128.524174,-108.252490,6.652,6.096
-132.480359,-111.302782,6.657,6.094
-136.517552,-114.246929,6.662,6.091
-140.65018,-117.061519,6.349,6.308
-144.883694,-119.716700,6.440,6.170
-149.221304,-122.181008,6.588,5.985
-153.666219,-124.422979,6.518,5.998
-158.221647,-126.411152,6.411,6.043
-162.890798,-128.114063,6.288,6.102
-167.676825,-129.500269,5.777,6.173
-172.571375,-130.542664,5.627,6.415
-177.540627,-131.223734,6.076,6.337
-182.547344,-131.527254,6.270,5.926
-187.55429,-131.436999,6.149,5.819
-192.524226,-130.936741,5.998,5.879
-197.419916,-130.010257,5.672,5.918
-202.204236,-128.641827,5.911,5.521
-206.844302,-126.834772,5.615,5.215
-211.312654,-124.616774,5.549,5.259
-215.582189,-122.017105,5.155,5.578
-219.6258,-119.065039,4.953,5.435
-223.416382,-115.789847,4.988,5.602
-226.926832,-112.220803,5.390,5.026
-230.130748,-108.387085,5.195,5.067
-233.011767,-104.316551,5.217,4.902
-235.560996,-100.036071,5.565,4.682
-237.769724,-95.572491,5.121,4.909
-239.629237,-90.952659,5.026,4.969
-241.130824,-86.203421,4.877,5.260
-242.265771,-81.351626,4.896,5.062
-243.026689,-76.424104,4.916,4.924
-243.415368,-71.447580,5.038,5.093
-243.437488,-66.448735,5.134,5.165
-243.098744,-61.454248,4.973,4.748
-242.404829,-56.490799,5.033,4.763
-241.361439,-51.585068,4.941,4.875
-239.974266,-46.763734,4.878,4.930
-238.2366,-42.065971,4.774,5.032
-236.095415,-37.577590,4.958,4.975
-233.486879,-33.395287,4.817,4.794
-230.368764,-29.594780,5.226,4.619
-226.840135,-26.114594,5.126,4.871
-223.056855,-22.838108,5.181,5.092
-219.17456,-19.648832,5.156,5.087
-215.29885,-16.467053,5.123,5.059
-211.435959,-13.286104,5.089,5.031
-207.58039,-10.107943,5.055,5.002
-203.726648,-6.934525,5.022,4.974
-199.869236,-3.767804,4.988,4.946
-196.002659,-0.609738,4.954,4.917
-192.121596,2.537821,4.921,4.889
-188.226082,5.676160,4.887,4.861
-184.322367,8.810211,4.853,4.833
-180.417049,11.945107,4.819,4.804
-176.516725,15.085983,4.786,4.776
-172.627993,18.237975,4.752,4.748
-168.757449,21.406216,4.718,4.720
-164.91164,24.595796,4.685,4.691
-161.09041,27.806116,4.651,4.663
-157.280397,31.025356,4.617,4.635
-153.466694,34.240383,4.584,4.607
-149.634394,37.438064,4.550,4.578
-145.768587,40.605267,4.516,4.550
-141.854367,43.728859,4.483,4.522
-137.878054,46.796820,4.449,4.494
-133.862974,49.830599,4.415,4.465
-129.875082,52.890203,4.382,4.437
-125.982696,56.037776,4.348,4.409
-122.254131,59.335462,4.314,4.381
-118.757704,62.845404,4.182,4.032
-115.561733,66.629746,3.935,4.631
-112.734137,70.744337,4.116,4.403
-110.337975,75.167643,4.322,4.164
-108.433038,79.826125,4.038,4.419
-107.079055,84.645281,4.132,4.142
-106.335756,89.550609,4.076,4.419
-106.26287,94.467605,4.275,4.388
-106.920127,99.321768,4.289,4.229
-108.351511,104.038140,4.356,4.263
-110.504336,108.538987,4.266,4.386
-113.289253,112.745518,4.340,4.213
-116.61684,116.578940,3.813,4.772
-120.397679,119.960460,4.357,4.036
-124.542347,122.811286,4.269,3.886
-128.961431,125.052644,4.258,3.993
-133.579519,126.657078,3.929,4.086
-138.365887,127.760917,3.755,4.138
-143.298711,128.533094,4.020,4.350
-148.346475,129.099500,4.519,4.199
-153.422223,129.339762,4.232,4.205
-158.419316,129.046073,4.342,4.115
-163.231551,128.012089,4.122,4.287
-167.79333,126.169962,3.635,4.172
-172.110853,123.696727,3.627,4.000
-176.197668,120.794447,4.043,4.128
-180.083063,117.642762,4.026,4.136
-183.844959,114.352006,4.009,4.145
-187.570645,111.019168,3.992,4.154
-191.345153,107.738753,3.975,4.162
-195.198433,104.544562,3.959,4.171
-199.103494,101.407648,3.942,4.180
-203.030717,98.296168,3.925,4.189
-206.950486,95.178282,3.908,4.197
-210.833182,92.022149,3.891,4.206
-214.649188,88.795926,3.874,4.215
-218.37119,85.470266,3.857,4.223
-221.996619,82.042613,3.895,4.228
-225.537963,78.526711,4.076,4.221
-229.007921,74.936535,4.105,4.285
-232.419194,71.286060,3.892,4.457
-235.784483,67.589261,3.966,4.471
-239.116488,63.860113,4.041,4.485
-242.427688,60.112338,4.115,4.499
-245.725289,56.353593,4.189,4.513
-249.01109,52.585326,4.263,4.527
-252.286648,48.808702,4.338,4.542
-255.553519,45.024886,4.412,4.556
-258.813259,41.235043,4.486,4.570
-262.067423,37.440340,4.561,4.584
-265.317567,33.641942,4.635,4.598
-268.565248,29.841014,4.709,4.612
-271.812021,26.038722,4.783,4.626
-275.059442,22.236231,4.858,4.641
-278.309067,18.434707,4.932,4.655
-281.562452,14.635315,5.006,4.669
-284.821153,10.839221,5.081,4.683
-288.09014,7.051140,5.155,4.697
-291.393212,3.295380,5.229,4.711
-294.760632,-0.397033,5.303,4.725
-298.228724,-3.984689,5.355,4.764
-301.897689,-7.316781,5.277,4.944
-305.906007,-10.176935,5.014,5.220
-310.392599,-12.347910,5.006,5.558
-315.379942,-13.638828,5.495,4.938
-320.54169,-13.937807,5.563,4.824
-325.486453,-13.147695,4.921,5.271
-329.893377,-11.224519,4.826,4.941
-333.815985,-8.406554,4.840,5.218
-337.431516,-5.025352,4.993,4.738
-340.916404,-1.410863,5.228,4.626
-344.384184,2.224785,5.186,4.607
-347.844889,5.863342,5.145,4.588
-351.298911,9.504626,5.104,4.569
-354.746638,13.148454,5.062,4.550
-358.188461,16.794643,5.021,4.530
-361.624769,20.443011,4.979,4.511
-365.055953,24.093375,4.938,4.492
-368.482401,27.745552,4.896,4.473
-371.904504,31.399361,4.855,4.454
-375.322652,35.054617,4.813,4.434
-378.737234,38.711139,4.772,4.415
-382.14864,42.368743,4.731,4.396
-385.55726,46.027248,4.689,4.377
-388.963484,49.686471,4.648,4.358
-392.367702,53.346228,4.606,4.339
-395.770303,57.006338,4.565,4.319
-399.171678,60.666617,4.523,4.300
-402.572215,64.326883,4.482,4.281
-405.972305,67.986954,4.440,4.262
-409.372338,71.646646,4.399,4.243
-412.772704,75.305777,4.358,4.223
-416.173791,78.964165,4.316,4.204
-419.575991,82.621626,4.275,4.185
-422.979693,86.277978,4.233,4.166
-426.385286,89.933039,4.192,4.147
-429.793161,93.586626,4.150,4.127
-433.203707,97.238556,4.109,4.108
-436.617277,100.888664,4.067,4.089
-440.033866,104.536964,4.065,4.087
-443.453263,108.183568,4.067,4.087
-446.875258,111.828590,4.070,4.087
-450.29964,115.472144,4.072,4.087
-453.726196,119.114343,4.075,4.087
-457.154715,122.755303,4.077,4.087
-460.584987,126.395136,4.080,4.087
-464.0168,130.033956,4.082,4.087
-467.449941,133.671878,4.085,4.087
-470.884201,137.309015,4.087,4.087
-474.319368,140.945481,4.090,4.087
-477.755229,144.581391,4.092,4.087
-481.191575,148.216857,4.095,4.087
-484.628192,151.851994,4.097,4.087
-488.064872,155.486916,4.100,4.087
-491.5014,159.121736,4.102,4.087
-494.937567,162.756569,4.105,4.087
-498.373161,166.391528,4.107,4.087
-501.807971,170.026728,4.110,4.087
-505.241785,173.662282,4.112,4.087
-508.674391,177.298304,4.115,4.087
-512.10558,180.934908,4.117,4.087
-515.535138,184.572207,4.120,4.087
-518.962855,188.210317,4.122,4.087
-522.388519,191.849350,4.125,4.087
-525.811919,195.489421,4.127,4.087
-529.23288,199.130630,4.130,4.087
-532.651974,202.772797,4.132,4.087
-536.070482,206.415477,4.135,4.087
-539.489714,210.058215,4.137,4.087
-542.910977,213.700556,4.139,4.087
-546.33558,217.342045,4.142,4.087
-549.764833,220.982226,4.144,4.087
-553.199222,224.621216,4.147,4.087
-556.631404,228.264586,4.149,4.087
-560.049687,231.920938,4.207,4.104
-563.442332,235.598904,4.268,4.122
-566.797603,239.307116,4.329,4.140
-570.10376,243.054207,4.390,4.158
-573.349066,246.848810,4.350,4.213
-576.514739,250.704786,4.243,4.284
-579.546586,254.662294,3.980,4.313
-582.379307,258.769734,4.216,3.981
-584.950291,263.069770,4.275,3.977
-587.222425,267.550656,4.145,4.085
-589.172657,272.170647,4.023,4.124
-590.778105,276.887697,4.048,4.003
-592.031185,281.671790,3.997,4.016
-592.966401,286.525994,4.033,4.013
-593.625431,291.459018,4.223,3.901
-594.047023,296.477688,4.251,3.981
-594.210659,301.550756,4.061,4.114
-594.040751,306.611592,3.867,4.193
-593.459621,311.592226,3.830,4.244
-592.409074,316.436097,3.806,4.237
-590.927339,321.143113,4.157,3.811
-589.082424,325.730621,4.274,3.610
-586.942344,330.215973,4.310,3.854
-584.575114,334.616521,4.431,3.874
-582.048751,338.949617,4.420,3.885
-579.431245,343.232608,4.409,3.896
-576.776152,347.480732,4.397,3.907
-574.098213,351.703541,4.386,3.918
-571.405713,355.909646,4.375,3.928
-568.706935,360.107654,4.363,3.939
-566.010165,364.306176,4.352,3.950
-563.323685,368.513821,4.340,3.961
-560.655677,372.739096,4.329,3.971
-558.008198,376.984472,4.318,3.982
-555.373878,381.243125,4.306,3.993
-552.744538,385.507436,4.295,4.004
