x,y,wide_right,wide_left
0.130036,4.995968,7.643,7.657
0.230845,9.992432,7.643,7.657
0.331483,14.988894,7.643,7.657
0.431955,19.985353,7.642,7.658
0.532268,24.981809,7.642,7.658
0.632424,29.978263,7.642,7.658
0.732428,34.974714,7.641,7.659
0.832286,39.971163,7.641,7.659
0.932002,44.967609,7.641,7.659
1.031581,49.964053,7.640,7.660
1.131026,54.960495,7.640,7.660
1.230344,59.956935,7.640,7.660
1.329538,64.953372,7.639,7.661
1.428614,69.949807,7.639,7.661
1.527575,74.946240,7.639,7.661
1.626427,79.942671,7.638,7.662
1.725174,84.939100,7.638,7.662
1.823821,89.935527,7.638,7.662
1.922373,94.931951,7.637,7.663
2.020833,99.928374,7.637,7.663
2.119208,104.924795,7.636,7.664
2.217501,109.921215,7.636,7.664
2.315717,114.917632,7.636,7.664
2.413861,119.914048,7.635,7.665
2.511938,124.910462,7.635,7.665
2.609952,129.906874,7.635,7.665
2.707907,134.903285,7.634,7.666
2.805809,139.899694,7.634,7.666
2.903662,144.896101,7.634,7.666
3.001471,149.892508,7.633,7.667
3.09924,154.888912,7.633,7.667
3.196975,159.885316,7.633,7.667
3.294679,164.881718,7.632,7.668
3.392358,169.878118,7.632,7.668
3.490015,174.874518,7.632,7.668
3.587657,179.870916,7.631,7.669
3.685286,184.867313,7.631,7.669
3.782909,189.863709,7.631,7.669
3.88053,194.860104,7.630,7.670
3.978153,199.856498,7.630,7.670
4.075783,204.852890,7.630,7.670
4.173424,209.849282,7.629,7.671
4.271082,214.845673,7.629,7.671
4.368761,219.842063,7.629,7.671
4.466466,224.838453,7.628,7.672
4.564201,229.834841,7.628,7.672
4.661971,234.831229,7.628,7.672
4.759781,239.827616,7.627,7.673
4.857635,244.824003,7.627,7.673
4.955538,249.820388,7.627,7.673
5.053494,254.816774,7.626,7.674
5.151509,259.813159,7.626,7.674
5.249587,264.809543,7.626,7.674
5.347732,269.805927,7.625,7.675
5.44595,274.802311,7.625,7.675
5.544244,279.798694,7.625,7.675
5.64262,284.795077,7.624,7.676
5.741082,289.791459,7.624,7.676
5.839636,294.787842,7.624,7.676
5.938284,299.784224,7.623,7.677
6.037033,304.780607,7.623,7.677
6.135887,309.776989,7.623,7.677
6.234851,314.773371,7.622,7.678
6.333928,319.769753,7.622,7.678
6.433125,324.766136,7.622,7.678
6.532445,329.762518,7.621,7.679
6.631893,334.758900,7.623,7.677
6.731474,339.755283,7.626,7.674
6.831192,344.751666,7.628,7.672
6.931053,349.748049,7.631,7.669
7.03106,354.744433,7.633,7.667
7.131219,359.740817,7.636,7.664
7.231534,364.737202,7.638,7.662
7.332009,369.733586,7.641,7.659
7.43265,374.729972,7.646,7.654
7.533462,379.726358,7.651,7.649
7.634448,384.722744,7.655,7.645
7.735613,389.719132,7.660,7.640
7.836963,394.715519,7.664,7.636
7.938501,399.711908,7.669,7.631
8.040232,404.708297,7.673,7.627
8.142162,409.704688,7.678,7.622
8.244295,414.701079,7.683,7.617
8.346634,419.697471,7.687,7.613
8.449186,424.693864,7.692,7.608
8.551955,429.690258,7.696,7.604
8.654944,434.686653,7.701,7.599
8.75816,439.683049,7.706,7.594
8.861607,444.679446,7.710,7.590
8.965289,449.675844,7.715,7.585
9.06921,454.672244,7.719,7.581
9.173377,459.668645,7.724,7.576
9.277793,464.665047,7.725,7.575
9.382462,469.661450,7.723,7.577
9.487391,474.657855,7.721,7.579
9.592582,479.654262,7.719,7.581
9.698042,484.650669,7.717,7.583
9.803774,489.647079,7.715,7.585
9.909783,494.643490,7.714,7.586
10.016075,499.639902,7.712,7.588
10.122657,504.636316,7.710,7.590
10.229604,509.632727,7.708,7.592
10.337046,514.629128,7.706,7.594
10.445115,519.625512,7.705,7.595
10.553941,524.621870,7.703,7.597
10.663657,529.618195,7.701,7.599
10.774393,534.614479,7.699,7.601
10.88628,539.610716,7.697,7.603
10.99945,544.606897,7.695,7.605
11.114035,549.603015,7.694,7.606
11.230165,554.599062,7.692,7.608
11.347972,559.595032,7.690,7.610
11.467587,564.590915,7.688,7.612
11.589141,569.586705,7.686,7.614
11.712767,574.582394,7.683,7.617
11.838594,579.577975,7.668,7.632
11.966755,584.573440,7.654,7.646
12.09738,589.568781,7.640,7.660
12.230602,594.563991,7.625,7.675
12.366551,599.559062,7.611,7.689
12.505358,604.553988,7.597,7.703
12.647155,609.548759,7.582,7.718
12.792074,614.543369,7.568,7.732
12.940245,619.537811,7.553,7.747
13.0918,624.532075,7.539,7.761
13.246848,629.526158,7.525,7.775
13.404424,634.520115,7.515,7.785
13.56204,639.514097,7.553,7.747
13.71709,644.508259,7.591,7.709
13.866969,649.502757,7.629,7.671
14.00907,654.497747,7.667,7.633
14.140789,659.493385,7.704,7.596
14.25952,664.489828,7.742,7.558
14.362657,669.487230,7.780,7.520
14.447595,674.485749,7.818,7.482
14.511729,679.485539,7.854,7.446
14.552452,684.486758,7.883,7.417
14.56716,689.489560,7.891,7.409
14.552707,694.493852,7.830,7.470
14.503537,699.498420,7.769,7.531
14.413417,704.501737,7.688,7.612
14.276116,709.502275,7.515,7.785
14.085402,714.498508,7.342,7.958
13.835042,719.488908,7.168,8.132
13.518805,724.471949,7.179,8.121
13.130458,729.446103,7.204,8.096
12.66377,734.409843,7.230,8.070
12.112508,739.361642,7.278,8.022
11.470441,744.299973,7.339,7.961
10.731337,749.223309,7.401,7.899
9.888969,754.130123,7.462,7.838
8.93916,759.018858,7.515,7.785
7.882866,763.887885,7.533,7.767
6.721828,768.735563,7.551,7.749
5.457792,773.560252,7.569,7.731
4.092499,778.360312,7.588,7.712
2.627694,783.134102,7.608,7.692
1.065121,787.879981,7.627,7.673
-0.593478,792.596308,7.632,7.668
-2.346359,797.281444,7.636,7.664
-4.191778,801.933747,7.639,7.661
-6.127993,806.551578,7.643,7.657
-8.153259,811.133294,7.646,7.654
-10.265833,815.677257,7.621,7.679
-12.463972,820.181825,7.585,7.715
-14.745932,824.645358,7.549,7.751
-17.10997,829.066215,7.514,7.786
-19.554342,833.442756,7.491,7.809
-22.077305,837.773340,7.546,7.754
-24.677115,842.056327,7.602,7.698
-27.352029,846.290075,7.657,7.643
-30.100304,850.472946,7.713,7.587
-32.920195,854.603297,7.625,7.675
-35.80996,858.679488,7.490,7.810
-38.767856,862.699879,7.370,7.930
-41.792137,866.662830,7.299,8.001
-44.88196,870.566465,7.227,8.073
-48.040601,874.407831,7.168,8.132
-51.272524,878.183666,7.244,8.056
-54.582192,881.890707,7.320,7.980
-57.974067,885.525693,7.410,7.890
-61.452612,889.085361,7.572,7.728
-65.020812,892.566949,7.734,7.566
-68.674839,895.970008,7.873,7.427
-72.408898,899.294754,7.847,7.453
-76.217196,902.541404,7.821,7.479
-80.093938,905.710173,7.795,7.505
-84.033331,908.801278,7.706,7.594
-88.029707,911.814922,7.579,7.721
-92.079706,914.751051,7.452,7.848
-96.181993,917.609385,7.352,7.948
-100.335298,920.389639,7.364,7.936
-104.538353,923.091527,7.377,7.923
-108.789888,925.714763,7.389,7.911
-113.088636,928.259060,7.420,7.880
-117.433327,930.724133,7.514,7.786
-121.822694,933.109695,7.608,7.692
-126.255466,935.415460,7.702,7.598
-130.730375,937.641142,7.698,7.602
-135.246153,939.786456,7.681,7.619
-139.801531,941.851114,7.663,7.637
-144.395206,943.834630,7.651,7.649
-149.025569,945.734754,7.657,7.643
-153.690856,947.548325,7.662,7.638
-158.389301,949.272174,7.667,7.633
-163.119136,950.903131,7.605,7.695
-167.878595,952.438027,7.520,7.780
-172.665912,953.873692,7.436,7.864
-177.479321,955.206957,7.353,7.947
-182.317054,956.434653,7.345,7.955
