x,y,wide_right,wide_left
-2.641405,-4.732672,6.280,6.328
-6.24408,-8.202459,6.269,6.318
-9.846953,-11.671930,6.258,6.309
-13.450017,-15.141101,6.248,6.300
-17.053267,-18.609983,6.237,6.292
-20.656697,-22.078591,6.227,6.283
-24.260302,-25.546938,6.216,6.275
-27.864076,-29.015038,6.206,6.266
-31.468013,-32.482903,6.195,6.258
-35.072108,-35.950549,6.185,6.249
-38.676355,-39.417987,6.175,6.241
-42.280748,-42.885232,6.164,6.232
-45.885282,-46.352298,6.154,6.224
-49.489952,-49.819197,6.143,6.215
-53.094751,-53.285943,6.133,6.206
-56.699675,-56.752550,6.122,6.198
-60.304717,-60.219031,6.112,6.189
-63.909871,-63.685399,6.102,6.181
-67.515133,-67.151669,6.091,6.172
-71.120496,-70.617854,6.081,6.164
-74.725955,-74.083967,6.070,6.155
-78.331505,-77.550022,6.060,6.147
-81.937139,-81.016032,6.049,6.138
-85.542853,-84.482011,6.039,6.130
-89.14864,-87.947972,6.028,6.121
-92.754495,-91.413929,6.018,6.112
-96.360412,-94.879895,6.008,6.104
-99.966385,-98.345884,5.997,6.095
-103.57241,-101.811909,5.987,6.087
-107.17848,-105.277985,5.976,6.078
-110.78459,-108.744123,5.966,6.070
-114.390734,-112.210339,5.955,6.061
-117.996906,-115.676645,5.945,6.053
-121.603084,-119.143064,5.935,6.044
-125.20923,-122.609624,5.924,6.036
-128.815307,-126.076355,5.914,6.027
-132.421277,-129.543286,5.903,6.018
-136.027102,-133.010446,5.893,6.010
-139.632744,-136.477865,5.882,6.001
-143.238165,-139.945573,5.872,5.993
-146.843328,-143.413599,5.861,5.984
-150.448194,-146.881971,5.851,5.976
-154.052725,-150.350720,5.841,5.967
-157.656884,-153.819875,5.830,5.959
-161.260633,-157.289465,5.820,5.950
-164.863933,-160.759520,5.809,5.942
-168.466748,-164.230069,5.799,5.933
-172.069038,-167.701141,5.788,5.924
-175.670767,-171.172766,5.778,5.916
-179.271896,-174.644973,5.768,5.907
-182.872388,-178.117792,5.757,5.899
-186.472204,-181.591251,5.747,5.890
-190.071307,-185.065381,5.736,5.882
-193.669658,-188.540211,5.726,5.873
-197.267221,-192.015770,5.715,5.865
-200.863956,-195.492088,5.705,5.856
-204.459826,-198.969193,5.695,5.848
-208.054794,-202.447115,5.684,5.839
-211.648821,-205.925885,5.674,5.830
-215.24187,-209.405530,5.680,5.820
-218.833902,-212.886081,5.691,5.809
-222.424879,-216.367566,5.702,5.798
-226.014765,-219.850016,5.713,5.787
-229.60352,-223.333459,5.725,5.775
-233.191108,-226.817925,5.736,5.764
-236.777489,-230.303446,5.747,5.753
-240.362578,-233.790153,5.758,5.742
-243.946221,-237.278339,5.769,5.731
-247.528253,-240.768311,5.780,5.720
-251.108512,-244.260376,5.791,5.709
-254.686836,-247.754838,5.802,5.698
-258.263062,-251.252006,5.814,5.686
-261.837027,-254.752185,5.825,5.675
-265.408616,-258.255628,5.836,5.664
-268.980561,-261.759342,5.847,5.653
-272.560008,-265.255303,5.858,5.642
-276.154483,-268.735057,5.869,5.631
-279.77151,-272.190147,5.880,5.620
-283.418614,-275.612119,5.891,5.609
-287.103321,-278.992518,5.856,5.644
-290.833155,-282.322887,5.820,5.680
-294.615642,-285.594772,5.783,5.717
-298.462657,-288.791643,5.710,5.790
-302.407012,-291.858099,5.631,5.869
-306.487812,-294.727060,5.834,5.666
-310.744163,-297.331441,5.972,5.528
-315.203797,-299.611145,5.955,5.545
-319.840273,-301.539335,5.806,5.694
-324.611046,-303.099066,5.756,5.744
-329.473568,-304.273392,5.894,5.606
-334.386195,-305.045976,6.031,5.469
-339.324159,-305.411819,5.981,5.519
-344.277655,-305.375977,5.915,5.585
-349.237397,-304.943853,5.939,5.561
-354.192495,-304.120695,5.963,5.537
-359.102867,-302.908915,5.866,5.634
-363.902934,-301.308452,5.680,5.820
-368.526259,-299.319159,5.734,5.766
-372.906472,-296.940926,5.894,5.606
-377.004343,-294.187336,6.058,5.442
-380.849048,-291.106489,6.212,5.288
-384.48037,-287.751843,5.969,5.531
-387.938093,-284.176852,5.725,5.775
-391.262004,-280.434973,5.662,5.838
-394.491886,-276.579661,5.665,5.835
-397.667523,-272.664371,5.668,5.832
-400.828671,-268.742517,5.671,5.829
