x,y,wide_right,wide_left
6.856595,3.976298,6.591,7.084
11.803935,4.717970,6.592,7.068
16.750632,5.463899,6.592,7.051
21.696661,6.214254,6.592,7.035
26.641996,6.969202,6.592,7.019
31.586611,7.728912,6.592,7.002
36.530479,8.493550,6.592,6.986
41.473576,9.263282,6.592,6.970
46.415906,10.038074,6.592,6.953
51.357523,10.817575,6.593,6.937
56.298484,11.601404,6.593,6.921
61.238847,12.389184,6.593,6.904
66.17867,13.180534,6.593,6.888
71.118012,13.975075,6.593,6.872
76.056929,14.772427,6.593,6.855
80.995479,15.572211,6.593,6.839
85.933721,16.374047,6.593,6.823
90.871712,17.177557,6.594,6.806
95.80951,17.982360,6.594,6.790
100.747174,18.788076,6.594,6.774
105.684759,19.594327,6.594,6.757
110.622325,20.400733,6.594,6.741
115.55993,21.206915,6.594,6.725
120.497631,22.012492,6.594,6.708
125.435485,22.817087,6.595,6.692
130.373552,23.620318,6.595,6.676
135.311888,24.421806,6.595,6.659
140.250552,25.221173,6.595,6.643
145.1896,26.018038,6.595,6.627
150.129092,26.812022,6.595,6.610
155.069085,27.602746,6.595,6.594
160.009637,28.389830,6.595,6.578
164.950805,29.172895,6.596,6.561
169.892648,29.951561,6.596,6.545
174.835221,30.725458,6.596,6.529
179.77855,31.494407,6.596,6.512
184.722632,32.258390,6.596,6.496
189.667464,33.017399,6.596,6.480
194.613044,33.771423,6.596,6.463
199.559367,34.520453,6.597,6.447
204.50643,35.264479,6.615,6.425
209.454231,36.003490,6.632,6.404
214.402766,36.737477,6.650,6.382
219.352032,37.466430,6.667,6.360
224.302026,38.190338,6.685,6.339
229.252744,38.909193,6.702,6.317
234.204184,39.622985,6.720,6.296
239.156336,40.331749,6.738,6.274
244.108905,41.037848,6.755,6.252
249.061187,41.746968,6.773,6.231
254.012445,42.465057,6.790,6.209
258.961941,43.198061,6.808,6.187
263.908941,43.951925,6.825,6.166
268.852706,44.732596,6.843,6.144
273.79282,45.542204,6.861,6.122
278.734255,46.318318,6.878,6.101
283.686483,46.944681,6.896,6.079
288.658931,47.305240,6.913,6.058
293.652925,47.368799,6.963,6.067
298.658478,47.222553,7.025,6.089
303.664765,46.962487,7.088,6.111
308.661688,46.674116,7.151,6.134
313.644932,46.360007,7.213,6.156
318.612929,45.983256,7.276,6.178
323.56413,45.506720,7.339,6.200
328.496984,44.893254,7.402,6.223
333.409943,44.105716,7.354,6.288
338.301257,43.107309,7.066,6.449
343.160872,41.875863,6.778,6.609
347.967571,40.408853,6.506,6.747
352.699353,38.705133,6.456,6.592
357.334218,36.763560,6.407,6.437
361.850166,34.582988,6.384,6.248
366.225197,32.162272,6.405,6.003
370.438609,29.501232,6.427,5.758
374.489512,26.614400,6.276,5.785
378.392454,23.527773,6.103,5.846
382.162392,20.267651,6.093,5.825
385.814283,16.860336,6.139,5.775
389.363085,13.332127,6.224,5.906
392.823753,9.709325,6.316,6.066
396.208606,6.015276,6.408,6.225
399.51068,2.251733,6.499,6.385
402.714462,-1.589122,6.678,6.498
405.804396,-5.515156,6.957,6.556
408.764931,-9.534231,7.237,6.615
411.580512,-13.654214,7.516,6.674
414.235586,-17.882967,7.651,6.736
416.716591,-22.224886,7.669,6.802
419.017639,-26.671013,7.687,6.867
421.134689,-31.209171,7.704,6.933
423.063696,-35.827186,7.722,6.999
424.80062,-40.512882,7.666,6.947
426.341418,-45.254086,7.532,6.769
427.681884,-50.038720,7.397,6.592
428.790869,-54.870569,7.263,6.415
429.580565,-59.786786,7.125,6.196
429.956008,-64.828733,6.976,5.868
429.687871,-69.901103,6.828,5.540
428.071492,-74.416731,6.614,5.227
424.96092,-78.080934,6.266,4.947
421.011774,-81.088192,5.918,4.667
416.657332,-83.565028,5.827,4.638
412.026948,-85.528713,5.757,4.629
407.233541,-86.991095,5.686,4.620
402.360065,-88.003214,5.618,4.620
397.433954,-88.688729,5.590,4.791
392.476618,-89.179176,5.563,4.962
387.508346,-89.600012,5.535,5.133
382.536608,-90.007380,5.508,5.304
377.560721,-90.413319,5.481,5.475
372.579869,-90.829160,5.453,5.646
367.593238,-91.266235,5.415,5.805
362.600013,-91.735876,5.191,5.755
357.59938,-92.249414,4.966,5.705
352.597705,-92.828048,4.742,5.655
347.642782,-93.549889,4.517,5.605
342.797224,-94.513407,4.292,5.554
338.127964,-95.850834,4.311,5.410
333.749105,-98.064761,5.204,4.926
329.696514,-101.315401,5.591,4.833
325.676132,-104.078698,5.805,4.874
321.283477,-105.914468,5.674,4.986
316.23071,-107.532989,4.623,5.290
311.13219,-108.096949,5.208,4.901
306.56799,-106.878096,5.751,4.721
302.529559,-104.280139,6.037,4.740
298.950668,-100.817701,5.584,5.240
295.760986,-96.974729,5.442,5.539
292.851493,-92.945968,5.626,5.625
290.091917,-88.767293,5.811,5.712
287.350625,-84.479945,5.995,5.798
284.473076,-80.265725,6.180,5.885
281.283535,-76.436457,5.872,6.170
277.605473,-73.308858,5.195,6.605
273.298807,-71.207915,5.482,6.435
268.407168,-70.495397,5.959,6.234
263.327575,-71.357154,6.210,6.660
258.871491,-73.691987,6.228,7.084
255.670417,-77.291856,6.975,7.219
253.891344,-81.827375,7.145,7.306
252.858418,-86.782545,6.775,7.396
251.988709,-91.764662,6.682,7.301
251.195818,-96.729347,6.590,7.207
250.46358,-101.681490,6.497,7.112
249.775829,-106.625980,6.404,7.017
249.1164,-111.567709,6.312,6.922
248.469126,-116.511565,6.219,6.828
247.819754,-121.461934,6.126,6.733
247.168453,-126.419389,6.033,6.638
246.521963,-131.382769,5.941,6.544
245.887062,-136.350900,5.848,6.449
245.270523,-141.322612,5.755,6.354
244.679123,-146.296734,5.663,6.259
244.119638,-151.272093,5.570,6.165
243.597262,-156.247792,5.597,6.094
243.11089,-161.224023,5.657,6.030
242.657845,-166.201254,5.718,5.967
242.235449,-171.179949,5.778,5.903
241.841027,-176.160573,5.839,5.839
241.4719,-181.143593,5.899,5.775
241.125392,-186.129474,5.960,5.711
240.798826,-191.118681,6.020,5.647
240.489524,-196.111679,6.081,5.584
240.19481,-201.108936,6.141,5.520
239.912006,-206.110915,6.202,5.456
239.638436,-211.118082,6.262,5.392
239.371422,-216.130904,6.323,5.328
239.106162,-221.149339,6.383,5.265
238.762127,-226.155323,6.444,5.201
238.164233,-231.108286,6.504,5.137
237.131444,-235.965720,6.565,5.073
235.482011,-240.596412,6.459,5.049
233.032679,-244.681125,6.329,5.030
229.600001,-247.876649,5.862,5.458
225.127129,-249.971669,5.445,5.863
220.026866,-251.244177,5.742,5.563
214.820894,-252.085606,5.840,5.465
209.938607,-252.845030,5.836,5.470
205.1882,-253.586063,5.831,5.475
200.29047,-254.280584,5.826,5.480
195.313115,-254.953934,5.822,5.485
190.332765,-255.628236,5.817,5.490
185.357333,-256.305601,5.812,5.495
180.386363,-256.985703,5.808,5.500
175.4194,-257.668215,5.803,5.505
170.45599,-258.352812,5.799,5.511
165.495678,-259.039167,5.794,5.516
160.53801,-259.726953,5.789,5.521
155.582531,-260.415845,5.785,5.526
150.628786,-261.105517,5.780,5.531
145.67632,-261.795641,5.775,5.536
140.724678,-262.485892,5.771,5.541
135.773407,-263.175944,5.766,5.546
130.822051,-263.865469,5.762,5.551
125.870178,-264.554161,5.757,5.556
120.917638,-265.241941,5.752,5.561
115.964474,-265.928887,5.748,5.566
111.010729,-266.615081,5.743,5.571
106.056451,-267.300603,5.738,5.576
101.101685,-267.985534,5.734,5.582
96.146476,-268.669955,5.729,5.587
91.19087,-269.353948,5.725,5.592
86.234913,-270.037593,5.720,5.597
81.27865,-270.720972,5.715,5.602
76.322127,-271.404166,5.711,5.607
71.36539,-272.087256,5.706,5.612
66.408484,-272.770322,5.701,5.617
61.451454,-273.453447,5.697,5.622
56.494347,-274.136710,5.692,5.627
51.537208,-274.820194,5.687,5.632
46.580083,-275.503978,5.683,5.637
41.623017,-276.188145,5.678,5.642
36.666055,-276.872775,5.674,5.647
31.709245,-277.557950,5.669,5.653
26.75263,-278.243750,5.664,5.658
21.796257,-278.930257,5.660,5.663
16.840171,-279.617551,5.655,5.668
11.884419,-280.305714,5.650,5.673
6.929045,-280.994826,5.646,5.678
1.974095,-281.684970,5.641,5.683
-2.980385,-282.376225,5.637,5.688
-7.934353,-283.068663,5.632,5.693
-12.887856,-283.762098,5.627,5.698
-17.841038,-284.456066,5.623,5.703
-22.794048,-285.150092,5.618,5.708
-27.747033,-285.843699,5.613,5.713
-32.700141,-286.536412,5.609,5.719
-37.65352,-287.227754,5.604,5.724
-42.607319,-287.917249,5.600,5.729
-47.561686,-288.604421,5.595,5.734
-52.516769,-289.288795,5.590,5.739
-57.472716,-289.969893,5.586,5.744
-62.429675,-290.647241,5.581,5.749
-67.387794,-291.320361,5.576,5.754
-72.347219,-291.988791,5.572,5.759
-77.307823,-292.653190,5.567,5.764
-82.269007,-293.316182,5.562,5.769
-87.230123,-293.980589,5.558,5.774
-92.190523,-294.649234,5.553,5.779
-97.149561,-295.324940,5.549,5.784
-102.106587,-296.010527,5.544,5.790
-107.060956,-296.708820,5.539,5.795
-112.012018,-297.422641,5.535,5.800
-116.959127,-298.154811,5.530,5.805
-121.901635,-298.908154,5.525,5.810
-126.838894,-299.685491,5.519,5.817
-131.770256,-300.489645,5.475,5.870
-136.695074,-301.323439,5.430,5.923
-141.608739,-302.202795,5.386,5.976
-146.466017,-303.277948,5.351,6.020
-151.197838,-304.777952,5.401,5.985
-155.741198,-306.910528,5.451,5.951
-160.175944,-309.382451,5.501,5.916
-164.688776,-311.543520,5.551,5.882
-169.292176,-313.446970,5.527,5.869
-173.933075,-315.317179,5.449,5.873
-178.54815,-317.266073,5.372,5.876
-183.073145,-319.394955,5.295,5.880
-187.468957,-321.762831,5.217,5.883
-191.768664,-324.307338,5.418,5.788
-196.018211,-326.944481,5.618,5.694
-200.262507,-329.592157,5.818,5.599
-204.524401,-332.208644,5.994,5.532
-208.805611,-334.790892,6.049,5.598
-213.10701,-337.337404,6.104,5.665
-217.429467,-339.846683,6.159,5.732
-221.773856,-342.317234,6.215,5.798
-226.141045,-344.747559,6.270,5.865
-230.531908,-347.136162,6.325,5.932
-234.947314,-349.481547,6.380,5.998
-239.388134,-351.782215,6.353,6.076
-243.855241,-354.036672,6.276,6.161
-248.349504,-356.243421,6.199,6.246
-252.871796,-358.400964,6.122,6.331
-257.422987,-360.507806,6.045,6.417
-261.998683,-362.570596,5.968,6.502
-266.568565,-364.636101,5.891,6.587
-271.094346,-366.763415,5.814,6.672
-275.537739,-369.011635,5.737,6.757
-279.860456,-371.439858,5.660,6.842
-284.024208,-374.107180,5.595,6.883
-287.992784,-377.069282,5.549,6.843
-291.770142,-380.315802,5.504,6.803
-295.396581,-383.776617,5.459,6.764
-298.912779,-387.380198,5.413,6.724
-302.306624,-391.097237,5.368,6.684
-305.485963,-394.962438,5.285,6.546
-308.351967,-399.015850,5.183,6.358
-310.817975,-403.291660,5.082,6.170
-312.903781,-407.772804,4.980,5.983
-314.684221,-412.415716,4.988,5.845
-316.234596,-417.176609,5.128,5.767
-317.630202,-422.011695,5.268,5.689
-318.946338,-426.877187,5.408,5.611
-320.258303,-431.729296,5.548,5.533
-321.626204,-436.534581,5.596,5.485
-323.041243,-441.306518,5.556,5.464
-324.475095,-446.071882,5.516,5.443
-325.911551,-450.850769,5.621,5.354
-327.435957,-455.607307,5.778,5.241
-329.184326,-460.277695,5.936,5.128
-331.292929,-464.797910,6.075,5.030
-333.8576,-469.098091,5.991,5.118
-336.874622,-473.094002,5.907,5.206
-340.325227,-476.699232,5.823,5.294
-344.180988,-479.843530,5.934,5.139
-348.371471,-482.526885,6.055,4.971
-352.814835,-484.768364,6.177,4.803
-357.429804,-486.587423,6.078,4.912
-362.160287,-488.020741,5.914,5.104
-366.984836,-489.128690,5.749,5.296
-371.884526,-489.973366,5.632,5.439
-376.840429,-490.616867,5.626,5.465
-381.83362,-491.121287,5.620,5.491
-386.845171,-491.548724,5.614,5.517
-391.856817,-491.959187,5.608,5.543
-396.860749,-492.379689,5.602,5.569
-401.857506,-492.810887,5.596,5.595
-406.847862,-493.252704,5.590,5.620
-411.83259,-493.705065,5.584,5.646
-416.812464,-494.167892,5.578,5.672
-421.788257,-494.641108,5.572,5.698
-426.760741,-495.124637,5.566,5.724
-431.730692,-495.618402,5.559,5.750
-436.698881,-496.122326,5.553,5.776
-441.666082,-496.636332,5.547,5.802
-446.633068,-497.160344,5.541,5.828
-451.600613,-497.694285,5.535,5.854
-456.56949,-498.238079,5.529,5.880
-461.540011,-498.794040,5.502,5.845
-466.510641,-499.374056,5.474,5.809
-471.479385,-499.992406,5.446,5.774
-476.444246,-500.663370,5.418,5.739
-481.403228,-501.401226,5.390,5.703
-486.354336,-502.220254,5.305,5.805
-491.29219,-503.140718,5.204,5.945
-496.162113,-504.270088,5.103,6.086
-500.872142,-505.781787,5.002,6.226
-505.331517,-507.846399,4.980,6.265
-509.527354,-510.470549,5.087,6.136
-513.545306,-513.453402,5.194,6.008
-517.477357,-516.580800,5.300,5.880
-521.400532,-519.669876,5.407,5.751
-525.28689,-522.757364,5.408,5.710
-529.063536,-525.974043,5.252,5.798
-532.658703,-529.444157,5.096,5.887
-536.018577,-533.196498,5.064,5.885
-539.102469,-537.190095,5.130,5.814
-541.869989,-541.382387,5.195,5.743
-544.302126,-545.732697,5.261,5.672
-546.458773,-550.207308,5.210,5.663
-548.41802,-554.774107,5.097,5.686
-550.257954,-559.400982,5.104,5.631
-552.056665,-564.055821,5.334,5.427
-553.892241,-568.706510,5.563,5.224
-555.842628,-573.320949,5.793,5.020
-557.965513,-577.868562,5.776,5.087
-560.277621,-582.321861,5.694,5.225
-562.790731,-586.653731,5.613,5.362
-565.516625,-590.837056,5.640,5.359
-568.467084,-594.844720,5.765,5.228
-571.653889,-598.649609,5.890,5.096
-575.084115,-602.230079,5.943,5.035
-578.734503,-605.599779,5.907,5.062
-582.569757,-608.786354,5.870,5.089
-586.554553,-611.817486,5.833,5.116
-590.653566,-614.720856,5.797,5.143
-594.83147,-617.524146,5.764,5.186
-599.052943,-620.255037,5.738,5.250
-603.28912,-622.937624,5.711,5.314
-607.533319,-625.583691,5.684,5.378
