x,y,wide_right,wide_left
0.980956,4.134640,5.694,5.390
2.086472,9.008653,5.689,5.391
3.193106,13.882778,5.684,5.393
4.300826,18.757004,5.680,5.395
5.409602,23.631324,5.675,5.396
6.519404,28.505728,5.670,5.398
7.630202,33.380206,5.665,5.400
8.741966,38.254749,5.660,5.402
9.854665,43.129349,5.656,5.403
10.968269,48.003996,5.651,5.405
12.082749,52.878682,5.646,5.407
13.198073,57.753396,5.641,5.409
14.314211,62.628129,5.636,5.410
15.431134,67.502874,5.632,5.412
16.54881,72.377619,5.627,5.414
17.667211,77.252357,5.622,5.416
18.786305,82.127078,5.617,5.417
19.906063,87.001772,5.612,5.419
21.026454,91.876432,5.608,5.421
22.147448,96.751046,5.603,5.422
23.269014,101.625608,5.598,5.424
24.391123,106.500106,5.593,5.426
25.513744,111.374532,5.589,5.428
26.636848,116.248878,5.584,5.429
27.760403,121.123133,5.579,5.431
28.88438,125.997288,5.574,5.433
30.008748,130.871335,5.569,5.435
31.133477,135.745264,5.565,5.436
32.258538,140.619066,5.560,5.438
33.383899,145.492732,5.555,5.440
34.509531,150.366253,5.550,5.441
35.635402,155.239619,5.545,5.443
36.761485,160.112822,5.541,5.445
37.887746,164.985851,5.536,5.447
39.014158,169.858699,5.531,5.448
40.140689,174.731356,5.526,5.450
41.267309,179.603812,5.521,5.452
42.393988,184.476059,5.517,5.454
43.520696,189.348087,5.512,5.455
44.647402,194.219888,5.507,5.457
45.774077,199.091451,5.502,5.459
46.90069,203.962769,5.497,5.461
48.02721,208.833831,5.493,5.462
49.153609,213.704629,5.488,5.464
50.279854,218.575153,5.483,5.466
51.405917,223.445394,5.478,5.467
52.531767,228.315343,5.473,5.469
53.657374,233.184992,5.469,5.471
54.782707,238.054330,5.464,5.473
55.907736,242.923348,5.459,5.474
57.032432,247.792038,5.454,5.476
58.156763,252.660390,5.449,5.478
59.2807,257.528395,5.445,5.480
60.404218,262.396062,5.440,5.481
61.527316,267.263502,5.435,5.483
62.650007,272.130862,5.430,5.485
63.7723,276.998289,5.425,5.486
64.894208,281.865932,5.421,5.488
66.015739,286.733936,5.416,5.490
67.136906,291.602450,5.411,5.492
68.257719,296.471620,5.406,5.493
69.378188,301.341595,5.402,5.495
70.498325,306.212521,5.397,5.497
71.61814,311.084547,5.392,5.499
72.737644,315.957818,5.387,5.500
73.856847,320.832482,5.382,5.502
74.975762,325.708688,5.378,5.504
76.094397,330.586582,5.373,5.506
77.212764,335.466311,5.368,5.507
78.330874,340.348023,5.363,5.509
79.448738,345.231865,5.358,5.511
80.566366,350.117985,5.354,5.512
81.683769,355.006529,5.349,5.514
82.800957,359.897646,5.344,5.516
83.917943,364.791482,5.339,5.518
85.034735,369.688185,5.334,5.519
86.151346,374.587902,5.330,5.521
87.267785,379.490781,5.325,5.523
88.384064,384.396968,5.320,5.525
89.500193,389.306612,5.286,5.548
90.58526,394.213172,5.245,5.575
91.277608,399.038595,5.135,5.559
91.015102,403.661473,5.181,5.558
89.255871,407.960587,5.461,5.480
85.997997,411.833221,5.296,5.503
81.784657,415.195348,5.099,5.472
77.183139,417.963763,5.126,5.274
72.771741,420.235253,5.470,4.809
69.186473,423.071925,5.156,4.768
66.938719,427.178186,4.832,4.334
66.234645,432.101794,4.606,4.464
66.644262,437.266252,4.569,4.552
67.516803,442.253304,4.568,4.569
