x,y,wide_right,wide_left
0.808296,-3.886832,5.869,5.720
1.292482,-8.861700,5.806,5.702
1.768145,-13.837190,5.743,5.683
2.230749,-18.813605,5.680,5.664
2.675757,-23.791245,5.617,5.646
3.098632,-28.770413,5.554,5.627
3.494838,-33.751409,5.558,5.594
3.859838,-38.734536,5.586,5.556
4.189105,-43.720095,5.613,5.519
4.480158,-48.708213,5.640,5.481
4.735114,-53.698630,5.668,5.443
4.956716,-58.691033,5.695,5.405
5.147709,-63.685110,5.693,5.386
5.310834,-68.680547,5.676,5.375
5.448835,-73.677031,5.660,5.364
5.564457,-78.674251,5.643,5.354
5.660441,-83.671891,5.626,5.343
5.739533,-88.669640,5.610,5.332
5.80396,-93.667241,5.593,5.322
5.853864,-98.664662,5.577,5.311
5.88886,-103.661930,5.562,5.304
5.90856,-108.659072,5.585,5.364
5.912576,-113.656113,5.608,5.424
5.900523,-118.653081,5.631,5.484
5.872012,-123.650002,5.654,5.543
5.826657,-128.646903,5.677,5.603
5.764076,-133.643809,5.700,5.663
5.685131,-138.640744,5.723,5.723
5.59351,-143.637722,5.746,5.783
5.493297,-148.634757,5.769,5.842
5.388572,-153.631861,5.738,5.829
5.283417,-158.629048,5.700,5.805
5.181915,-163.626331,5.662,5.781
5.088145,-168.623723,5.624,5.757
5.006192,-173.621238,5.586,5.733
4.940135,-178.618888,5.548,5.709
4.892841,-183.616679,5.510,5.685
4.862167,-188.614583,5.472,5.661
4.844686,-193.612563,5.434,5.637
4.836965,-198.610585,5.396,5.613
4.835575,-203.608610,5.358,5.589
4.837086,-208.606603,5.320,5.565
4.838068,-213.604529,5.282,5.541
4.835091,-218.602349,5.243,5.517
4.824724,-223.600028,5.205,5.493
4.803539,-228.597531,5.167,5.469
4.768104,-233.594820,5.129,5.445
4.714989,-238.591859,5.091,5.421
4.640765,-243.588612,5.053,5.397
4.542002,-248.585043,5.058,5.356
4.415269,-253.581115,5.116,5.294
4.257137,-258.576793,5.175,5.231
4.064175,-263.572039,5.233,5.169
3.832953,-268.566818,5.263,5.138
3.560073,-273.560874,5.283,5.118
3.242275,-278.553034,5.304,5.097
2.87633,-283.541884,5.326,5.077
2.459013,-288.526014,5.355,5.064
1.987097,-293.504008,5.383,5.052
1.457355,-298.474456,5.415,5.031
0.866561,-303.435944,5.462,4.975
0.211488,-308.387060,5.508,4.920
-0.51109,-313.326391,5.554,4.864
-1.304401,-318.252524,5.587,4.820
-2.17167,-323.164046,5.475,4.892
-3.116125,-328.059546,5.364,4.965
-4.140991,-332.937610,5.261,5.035
-5.249496,-337.796826,5.229,5.082
-6.444866,-342.635781,5.197,5.128
-7.730328,-347.453062,5.166,5.175
-9.109108,-352.247256,5.134,5.222
-10.584433,-357.016952,5.128,5.234
-12.159436,-361.760645,5.163,5.193
-13.835755,-366.475379,5.197,5.152
-15.613813,-371.157016,5.231,5.111
-17.494002,-375.801387,5.270,5.064
-19.476711,-380.404321,5.319,5.003
-21.562329,-384.961648,5.369,4.941
-23.751248,-389.469198,5.419,4.879
-26.043855,-393.922802,5.468,4.817
-28.440543,-398.318288,5.503,4.826
-30.9417,-402.651488,5.535,4.846
-33.547717,-406.918230,5.567,4.866
-36.258983,-411.114344,5.600,4.886
-39.075889,-415.235662,5.632,4.906
-41.998824,-419.278011,5.640,4.941
-45.028178,-423.237223,5.530,5.049
-48.164342,-427.109128,5.419,5.157
-51.407704,-430.889554,5.313,5.259
-54.758656,-434.574333,5.309,5.255
-58.217496,-438.159317,5.305,5.252
-61.783026,-441.640756,5.313,5.240
-65.452833,-445.015219,5.405,5.168
-69.224466,-448.279285,5.498,5.096
-73.095476,-451.429532,5.591,5.024
-77.063411,-454.462539,5.578,5.047
-81.125822,-457.374886,5.530,5.101
-85.280258,-460.163151,5.482,5.155
-89.524269,-462.823913,5.438,5.201
-93.855208,-465.353122,5.417,5.210
-98.26884,-467.741706,5.395,5.219
-102.760174,-469.978188,5.364,5.291
-107.324215,-472.051077,5.331,5.368
-111.955967,-473.948880,5.353,5.401
-116.650433,-475.660108,5.416,5.401
-121.402618,-477.173268,5.479,5.401
-126.207525,-478.476869,5.534,5.338
-131.060158,-479.559420,5.574,5.127
-135.95529,-480.408507,5.618,4.940
-140.883849,-480.996477,5.688,4.863
-145.833603,-481.283146,5.759,4.786
-150.79223,-481.227957,5.636,4.903
-155.74739,-480.790433,5.396,5.136
-160.683066,-479.953127,5.157,5.369
-165.574466,-478.753461,5.207,5.357
-170.395519,-477.236854,5.281,5.324
-175.120156,-475.448725,5.332,5.271
-179.723724,-473.430943,5.373,5.209
-184.192869,-471.197066,5.420,5.137
-188.519648,-468.747104,5.507,4.988
-192.696149,-466.080984,5.595,4.840
-196.714461,-463.198630,5.657,4.742
-200.566673,-460.099969,5.578,4.928
-204.244875,-456.784924,5.493,5.108
-207.741155,-453.253423,5.342,5.197
-211.047603,-449.505391,5.196,5.281
-214.154855,-445.541505,5.128,5.285
-217.02973,-441.374783,5.060,5.290
-219.619586,-437.028325,5.107,5.139
-221.871206,-432.525528,5.187,4.939
-223.731505,-427.889788,4.947,4.950
-225.184492,-423.144367,4.907,4.817
-226.302512,-418.312204,5.004,4.586
-227.170778,-413.416195,5.007,4.515
-227.874499,-408.479233,4.991,4.475
-228.498157,-403.524014,4.978,4.441
-229.093371,-398.564264,4.974,4.444
-229.666313,-393.601308,4.970,4.447
-230.219821,-388.635559,4.966,4.450
-230.756735,-383.667434,4.963,4.453
-231.279893,-378.697345,4.959,4.456
-231.792136,-373.725708,4.955,4.459
-232.296302,-368.752937,4.951,4.462
-232.795229,-363.779447,4.947,4.465
-233.291756,-358.805653,4.943,4.468
-233.787963,-353.831857,4.939,4.471
-234.284121,-348.858098,4.935,4.474
-234.780234,-343.884375,4.932,4.477
-235.276306,-338.910689,4.928,4.480
-235.772341,-333.937038,4.924,4.483
-236.268343,-328.963422,4.920,4.486
-236.764315,-323.989841,4.916,4.489
-237.260261,-319.016292,4.912,4.492
-237.756185,-314.042777,4.908,4.495
-238.252092,-309.069294,4.905,4.498
-238.747984,-304.095843,4.901,4.501
-239.243865,-299.122423,4.897,4.504
-239.739741,-294.149033,4.893,4.507
-240.235613,-289.175673,4.889,4.510
-240.731487,-284.202343,4.885,4.513
-241.227365,-279.229042,4.881,4.516
-241.723253,-274.255768,4.878,4.519
-242.219153,-269.282522,4.874,4.522
-242.71507,-264.309303,4.870,4.525
-243.211007,-259.336110,4.866,4.528
-243.706969,-254.362943,4.862,4.531
-244.202958,-249.389801,4.858,4.534
-244.69898,-244.416684,4.854,4.537
-245.195037,-239.443590,4.851,4.540
-245.691134,-234.470520,4.847,4.543
-246.187274,-229.497472,4.843,4.546
-246.683462,-224.524446,4.839,4.549
-247.179701,-219.551442,4.835,4.552
-247.675995,-214.578459,4.831,4.555
-248.172347,-209.605495,4.827,4.558
-248.668763,-204.632552,4.824,4.561
-249.165245,-199.659627,4.820,4.564
-249.661797,-194.686721,4.816,4.567
-250.158424,-189.713833,4.812,4.570
-250.655128,-184.740962,4.808,4.573
-251.151915,-179.768107,4.804,4.576
-251.648787,-174.795269,4.800,4.579
-252.145749,-169.822446,4.797,4.582
-252.642804,-164.849637,4.793,4.585
-253.139957,-159.876843,4.789,4.588
-253.637211,-154.904062,4.785,4.591
-254.134569,-149.931295,4.781,4.594
-254.632037,-144.958539,4.777,4.597
-255.129617,-139.985796,4.773,4.600
-255.627314,-135.013063,4.770,4.603
-256.125131,-130.040341,4.766,4.606
-256.623073,-125.067629,4.762,4.609
-257.121142,-120.094927,4.758,4.612
-257.619343,-115.122233,4.754,4.615
-258.117681,-110.149547,4.750,4.618
-258.616157,-105.176868,4.746,4.621
-259.114777,-100.204197,4.743,4.624
-259.613545,-95.231532,4.739,4.627
-260.112463,-90.258872,4.735,4.630
-260.611537,-85.286218,4.731,4.633
-261.110769,-80.313568,4.727,4.636
-261.610164,-75.340922,4.723,4.639
-262.109725,-70.368279,4.719,4.642
-262.609457,-65.395639,4.716,4.645
-263.109363,-60.423000,4.712,4.648
-263.609447,-55.450364,4.708,4.651
-264.109713,-50.477728,4.704,4.654
-264.610165,-45.505092,4.700,4.658
-265.110806,-40.532456,4.696,4.661
-265.611641,-35.559819,4.692,4.664
-266.112673,-30.587180,4.689,4.667
-266.613906,-25.614539,4.685,4.670
-267.115344,-20.641896,4.682,4.673
-267.616991,-15.669249,4.679,4.677
-268.11885,-10.696597,4.677,4.681
-268.620926,-5.723942,4.675,4.685
-269.123222,-0.751281,4.673,4.689
-269.62574,4.221386,4.671,4.693
-270.128461,9.194059,4.668,4.697
-270.631354,14.166739,4.666,4.701
-271.134391,19.139425,4.664,4.705
-271.63754,24.112119,4.662,4.709
-272.140773,29.084821,4.660,4.714
-272.644059,34.057530,4.658,4.718
-273.147369,39.030248,4.655,4.722
-273.650672,44.002975,4.653,4.726
-274.15394,48.975710,4.651,4.730
-274.657141,53.948455,4.649,4.734
-275.160247,58.921210,4.647,4.738
-275.663228,63.893974,4.644,4.742
-276.166053,68.866750,4.642,4.746
-276.668692,73.839536,4.640,4.750
-277.171117,78.812333,4.638,4.754
-277.673297,83.785141,4.636,4.758
-278.175202,88.757961,4.633,4.762
-278.676802,93.730794,4.631,4.766
-279.178068,98.703639,4.629,4.770
-279.67897,103.676496,4.627,4.774
-280.179478,108.649367,4.625,4.778
-280.679562,113.622252,4.623,4.782
-281.179192,118.595150,4.620,4.786
-281.678338,123.568063,4.618,4.791
-282.176972,128.540990,4.616,4.795
-282.675061,133.513932,4.614,4.799
-283.172578,138.486889,4.612,4.803
-283.669492,143.459862,4.609,4.807
-284.165773,148.432851,4.607,4.811
-284.661392,153.405857,4.605,4.815
-285.156318,158.378879,4.603,4.819
-285.650522,163.351918,4.601,4.823
-286.143973,168.324974,4.598,4.827
-286.636643,173.298048,4.596,4.831
-287.128501,178.271140,4.594,4.835
-287.619532,183.244250,4.592,4.839
-288.109845,188.217370,4.590,4.843
-288.599616,193.190490,4.588,4.847
-289.089022,198.163600,4.585,4.851
-289.578239,203.136689,4.583,4.855
-290.067442,208.109747,4.581,4.859
-290.556808,213.082762,4.579,4.863
-291.046514,218.055724,4.577,4.868
-291.536736,223.028623,4.574,4.872
-292.027649,228.001449,4.572,4.876
-292.519431,232.974189,4.570,4.880
-293.012257,237.946835,4.568,4.884
-293.506303,242.919376,4.566,4.888
-294.001746,247.891800,4.563,4.892
-294.498763,252.864098,4.561,4.896
-294.997529,257.836259,4.559,4.900
-295.49822,262.808272,4.557,4.904
-296.001013,267.780127,4.555,4.908
-296.506084,272.751813,4.553,4.912
-297.01361,277.723319,4.550,4.916
-297.523766,282.694636,4.548,4.920
-298.036728,287.665752,4.546,4.924
-298.552674,292.636657,4.544,4.928
-299.071779,297.607340,4.542,4.932
-299.594219,302.577791,4.539,4.936
-300.120172,307.548000,4.537,4.940
-300.649812,312.517955,4.535,4.945
-301.183316,317.487646,4.533,4.949
-301.720861,322.457063,4.531,4.953
-302.262623,327.426195,4.528,4.957
-302.808777,332.395032,4.526,4.961
-303.359501,337.363562,4.535,4.976
-303.91497,342.331776,4.556,5.006
-304.475361,347.299663,4.577,5.036
-305.040849,352.267212,4.599,5.066
-305.611612,357.234412,4.620,5.097
-306.18782,362.201254,4.642,5.127
-306.769353,367.167721,4.663,5.157
-307.355639,372.133790,4.685,5.187
-307.946066,377.099438,4.706,5.217
-308.540024,382.064640,4.727,5.247
