x,y,wide_right,wide_left
-0.345988,-5.106602,6.599,6.739
0.200538,-10.081534,6.600,6.742
0.745962,-15.056708,6.602,6.744
1.290152,-20.032146,6.603,6.746
1.832975,-25.007870,6.604,6.749
2.374299,-29.983901,6.605,6.751
2.91399,-34.960260,6.607,6.753
3.45192,-39.936968,6.608,6.756
3.988297,-44.913946,6.609,6.758
4.524062,-49.890901,6.611,6.761
5.060246,-54.867515,6.612,6.763
5.597881,-59.843467,6.613,6.765
6.138,-64.818439,6.615,6.768
6.681634,-69.792111,6.616,6.770
7.229816,-74.764163,6.617,6.773
7.783578,-79.734276,6.618,6.775
8.343951,-84.702130,6.620,6.777
8.911968,-89.667407,6.621,6.780
9.488662,-94.629786,6.622,6.782
10.075063,-99.588949,6.643,6.771
10.672042,-104.544920,6.704,6.730
11.275057,-109.509231,6.765,6.688
11.873022,-114.507329,6.827,6.647
12.456908,-119.564181,6.860,6.787
13.383529,-124.508720,7.170,7.460
15.689641,-128.755252,8.040,8.684
19.571435,-131.510035,8.357,9.186
24.459932,-132.178255,8.410,8.898
29.426142,-131.202306,8.552,9.028
34.021606,-129.220825,7.931,8.301
38.390231,-126.792593,6.954,7.171
42.622687,-124.139456,6.334,6.457
46.778835,-121.359806,6.284,6.405
50.915436,-118.546845,6.235,6.353
55.054532,-115.736837,6.185,6.302
59.196107,-112.929886,6.136,6.250
63.339797,-110.125517,6.086,6.199
67.485234,-107.323256,6.037,6.147
71.632053,-104.522627,5.988,6.095
75.779887,-101.723158,5.938,6.044
79.928371,-98.924373,5.889,5.992
84.077139,-96.125798,5.839,5.941
88.225824,-93.326959,5.790,5.889
92.37406,-90.527382,5.741,5.837
96.521482,-87.726591,5.691,5.786
100.667725,-84.924115,5.642,5.734
104.812615,-82.119739,5.592,5.682
108.956314,-79.313697,5.543,5.631
113.099019,-76.506275,5.493,5.579
117.240927,-73.697753,5.444,5.528
121.382234,-70.888417,5.395,5.476
125.523136,-68.078548,5.345,5.424
129.663832,-65.268429,5.296,5.373
133.804517,-62.458345,5.246,5.321
137.945389,-59.648577,5.197,5.270
142.086643,-56.839408,5.148,5.218
146.228477,-54.031123,5.098,5.166
150.371088,-51.224003,5.049,5.115
154.514666,-48.418325,4.999,5.063
158.65928,-45.614183,4.950,5.011
162.80487,-42.811490,4.900,4.960
166.951371,-40.010147,4.851,4.908
171.098719,-37.210060,4.833,4.884
175.246849,-34.411131,4.839,4.882
179.395697,-31.613263,4.845,4.879
183.545197,-28.816361,4.851,4.877
187.695285,-26.020328,4.857,4.874
191.845896,-23.225067,4.863,4.872
195.996966,-20.430481,4.870,4.869
200.14843,-17.636474,4.876,4.867
204.300223,-14.842950,4.882,4.864
208.45228,-12.049811,4.888,4.861
212.604538,-9.256962,4.894,4.859
216.75693,-6.464306,4.900,4.856
220.909393,-3.671745,4.906,4.854
225.061861,-0.879185,4.912,4.851
229.21427,1.913473,4.918,4.849
233.366556,4.706324,4.924,4.846
237.518653,7.499466,4.930,4.843
241.670497,10.292994,4.936,4.841
245.822024,13.087005,4.942,4.838
249.973167,15.881596,4.948,4.836
254.123864,18.676863,4.954,4.833
