x,y,wide_right,wide_left
5.446231,1.971578,7.314,7.507
9.696237,4.602991,7.336,7.493
13.945024,7.236188,7.358,7.480
18.192367,9.871515,7.381,7.466
22.438517,12.508569,7.403,7.453
26.683728,15.146945,7.426,7.439
30.928251,17.786240,7.448,7.426
35.17234,20.426047,7.470,7.412
39.416248,23.065963,7.493,7.398
43.660229,25.705582,7.515,7.385
47.904534,28.344501,7.537,7.371
52.149417,30.982313,7.560,7.358
56.395132,33.618616,7.582,7.344
60.64193,36.253003,7.605,7.331
64.890066,38.885071,7.627,7.317
69.139791,41.514413,7.649,7.304
73.39136,44.140627,7.672,7.290
77.645025,46.763307,7.694,7.277
81.901038,49.382048,7.717,7.263
86.159654,51.996446,7.739,7.249
90.421124,54.606096,7.761,7.236
94.685703,57.210593,7.784,7.222
98.953642,59.809532,7.806,7.209
103.225196,62.402510,7.829,7.195
107.500616,64.989120,7.851,7.182
111.780156,67.568959,7.873,7.168
116.064069,70.141622,7.895,7.157
120.352609,72.706704,7.902,7.199
124.646027,75.263800,7.909,7.240
128.944577,77.812506,7.915,7.282
133.248512,80.352416,7.922,7.323
137.557986,82.883284,7.929,7.365
141.872758,85.405489,7.936,7.406
146.192492,87.919565,7.942,7.448
150.516847,90.426047,7.949,7.489
154.845485,92.925470,7.956,7.531
159.178069,95.418369,7.963,7.572
163.514259,97.905280,7.970,7.614
167.853718,100.386736,7.976,7.655
172.196106,102.863274,7.983,7.697
176.541086,105.335427,7.990,7.738
180.888319,107.803732,7.997,7.780
185.237466,110.268723,8.003,7.821
189.588189,112.730934,8.010,7.863
193.940151,115.190901,8.017,7.904
198.293011,117.649159,8.024,7.946
202.646433,120.106243,8.030,7.987
207.000077,122.562688,8.037,8.029
211.353605,125.019028,8.044,8.070
215.706679,127.475799,8.051,8.112
220.05896,129.933536,8.058,8.153
224.41011,132.392773,8.064,8.195
228.75979,134.854046,8.071,8.236
233.107662,137.317889,8.078,8.278
237.453388,139.784838,8.085,8.319
241.796629,142.255427,8.091,8.361
246.137046,144.730192,8.098,8.402
250.474302,147.209667,8.105,8.444
254.808058,149.694387,8.112,8.485
259.137947,152.184949,8.119,8.527
263.463167,154.682903,8.125,8.568
267.782569,157.190552,8.132,8.610
272.094995,159.710223,8.139,8.651
276.399289,162.244241,8.146,8.693
280.694291,164.794931,8.152,8.734
284.978846,167.364617,8.159,8.776
289.251794,169.955625,8.229,8.849
293.511978,172.570281,8.601,9.075
297.758242,175.210908,8.973,9.301
301.989426,177.879833,9.346,9.528
306.204374,180.579381,9.500,9.611
310.401927,183.311877,9.645,9.688
314.580929,186.079645,9.789,9.764
318.740143,188.885079,9.933,9.841
