x,y,wide_right,wide_left
-4.854278,2.167319,7.474,7.287
-8.466262,5.627362,7.461,7.286
-12.078609,9.087042,7.448,7.285
-15.6913,12.546384,7.435,7.285
-19.304317,16.005406,7.422,7.284
-22.917648,19.464121,7.410,7.283
-26.53128,22.922541,7.397,7.282
-30.145201,26.380680,7.384,7.281
-33.759396,29.838550,7.371,7.281
-37.373854,33.296164,7.358,7.280
-40.988562,36.753534,7.346,7.279
-44.603506,40.210674,7.333,7.278
-48.218674,43.667597,7.320,7.277
-51.834053,47.124314,7.307,7.277
-55.44963,50.580840,7.294,7.276
-59.065393,54.037186,7.281,7.275
-62.681328,57.493365,7.269,7.274
-66.297422,60.949391,7.256,7.274
-69.913664,64.405276,7.243,7.273
-73.530039,67.861033,7.230,7.272
-77.146535,71.316675,7.217,7.271
-80.76314,74.772214,7.204,7.270
-84.379839,78.227663,7.192,7.270
-87.996622,81.683035,7.179,7.269
-91.613473,85.138343,7.166,7.268
-95.230382,88.593600,7.153,7.267
-98.847334,92.048818,7.140,7.266
-102.464318,95.504011,7.128,7.266
-106.08132,98.959190,7.115,7.265
-109.698327,102.414370,7.102,7.264
-113.315326,105.869562,7.089,7.263
-116.932305,109.324779,7.076,7.263
-120.549251,112.780034,7.063,7.262
-124.166151,116.235341,7.051,7.261
-127.782992,119.690711,7.038,7.260
-131.399758,123.146161,7.025,7.259
-135.016397,126.601743,7.012,7.259
-138.632838,130.057530,6.999,7.258
-142.249007,133.513595,6.992,7.259
-145.864832,136.970012,7.132,7.319
-149.480239,140.426855,7.273,7.380
-153.095157,143.884197,7.413,7.440
-156.709511,147.342112,7.553,7.500
-160.32323,150.800673,7.693,7.560
-163.93624,154.259955,7.833,7.620
-167.548469,157.720029,7.973,7.680
-171.159843,161.180971,8.114,7.740
-174.770291,164.642854,8.254,7.800
-178.379739,168.105751,8.276,7.805
-181.988114,171.569736,8.237,7.781
-185.595344,175.034883,8.199,7.757
-189.201356,178.501264,8.160,7.733
-192.806076,181.968955,8.121,7.709
-196.409433,185.438027,8.082,7.685
-200.011352,188.908556,8.043,7.662
-203.611763,192.380613,8.005,7.638
-207.210591,195.854274,7.966,7.614
-210.807764,199.329612,7.927,7.590
-214.403208,202.806700,7.888,7.566
-217.996852,206.285611,7.850,7.542
-221.588623,209.766420,7.811,7.518
-225.178447,213.249200,7.772,7.494
-228.766251,216.734024,7.733,7.470
-232.351964,220.220967,7.695,7.446
-235.935512,223.710101,7.656,7.422
-239.516821,227.201501,7.617,7.398
-243.095821,230.695239,7.578,7.374
-246.67244,234.191387,7.540,7.351
-250.246838,237.689797,7.501,7.327
-253.819543,241.189968,7.462,7.303
-257.391117,244.691365,7.423,7.279
-260.962125,248.193456,7.384,7.255
-264.533128,251.695707,7.346,7.231
-268.10469,255.197583,7.307,7.207
-271.677373,258.698551,7.268,7.183
-275.251741,262.198078,7.229,7.159
-278.828356,265.695628,7.191,7.135
-282.407781,269.190669,7.152,7.111
-285.99058,272.682667,7.113,7.087
-289.577314,276.171087,7.074,7.063
-293.168547,279.655397,7.036,7.040
-296.764842,283.135062,6.997,7.016
-300.366761,286.609549,6.958,6.992
-303.974799,290.078387,6.919,6.968
-307.585124,293.545041,6.923,6.957
-311.187107,297.019167,6.993,6.967
-314.769519,300.510966,7.062,6.977
-318.321134,304.030637,7.132,6.987
-321.830723,307.588379,7.202,6.997
-325.287061,311.194392,7.271,7.007
-328.678918,314.858876,7.320,6.875
-331.994551,318.592297,7.365,6.720
-335.191378,322.421094,7.103,7.167
-338.179139,326.396395,6.916,7.534
-340.863488,330.571445,7.460,7.128
-343.150493,334.998645,7.843,6.821
-344.970142,339.681318,7.402,7.019
-346.289031,344.547697,6.984,7.083
-347.076851,349.519664,6.610,6.912
-347.303685,354.519347,6.654,6.714
-346.960909,359.481987,6.589,6.533
-346.071655,364.362389,6.669,6.323
-344.661643,369.116953,6.784,6.164
-342.756596,373.702077,6.745,6.183
-340.382234,378.074162,6.544,6.209
-337.56428,382.189607,6.366,6.206
-334.328453,386.004812,6.244,6.162
-330.702585,389.478504,5.723,6.335
-326.819615,392.685485,5.745,6.079
-322.95848,395.862748,5.987,5.643
-319.130029,398.999047,6.175,5.225
-314.949018,401.709362,5.630,5.578
-310.278608,403.647750,5.361,5.924
-305.376514,404.571199,5.738,5.536
-300.428731,404.538981,5.983,5.246
-295.477181,404.022193,5.846,5.255
-290.539577,403.331542,5.506,5.376
-285.615095,402.511758,5.253,5.356
-280.701549,401.587992,5.014,5.315
-275.79675,400.585396,4.912,5.237
-270.898513,399.529123,4.830,5.153
-266.004649,398.444323,4.749,5.070
-261.112971,397.356150,4.667,4.986
-256.22131,396.289463,4.586,4.903
-251.328288,395.256469,4.504,4.819
-246.433607,394.252116,4.423,4.736
-241.537046,393.270110,4.341,4.652
-236.638382,392.304161,4.260,4.569
-231.737396,391.347976,4.178,4.485
-226.833865,390.395262,4.097,4.402
-221.927569,389.439728,4.015,4.318
-217.018286,388.475081,3.974,4.218
-212.106064,387.496499,3.977,4.099
-207.192066,386.505246,3.981,3.981
-202.277744,385.504164,3.984,3.862
-197.36455,384.496094,3.987,3.743
-192.453934,383.483877,3.990,3.625
-187.547349,382.470355,4.046,3.618
-182.646247,381.458370,4.235,3.893
-177.752078,380.450763,4.423,4.168
-172.866804,379.444966,4.612,4.443
-167.994455,378.416429,4.800,4.718
-163.139587,377.335011,4.989,4.992
-158.306757,376.170575,5.177,5.267
-153.50052,374.892982,5.246,5.301
-148.725432,373.472094,5.256,5.218
-143.986051,371.877772,5.547,4.863
-139.28693,370.079878,5.688,5.116
-134.642527,368.050195,5.792,5.467
-130.10659,365.768137,5.808,5.715
-125.742622,363.215011,5.312,5.361
-121.614126,360.372123,5.074,5.012
-117.784601,357.220780,4.753,4.602
-114.317552,353.742290,4.981,4.903
-111.276478,349.917958,5.023,5.409
-108.724882,345.729093,5.468,5.249
-106.683045,341.184728,5.679,5.003
-105.005519,336.400226,5.615,5.077
-103.507133,331.516431,5.444,5.282
-102.00272,326.674185,5.273,5.488
-100.31565,321.997250,4.917,5.675
-98.301589,317.544780,5.137,5.483
-95.823836,313.360656,5.333,5.504
-92.745692,309.488763,5.701,5.228
-88.997242,306.014469,5.682,5.227
-84.755679,303.176635,5.163,5.616
-80.229789,301.131445,5.198,5.708
-75.53493,299.602806,5.441,5.533
-70.751675,298.277316,5.430,5.569
-65.912034,297.064103,5.419,5.605
-61.037039,295.922599,5.408,5.641
-56.147719,294.812238,5.398,5.671
-51.261058,293.700149,5.451,5.443
-46.379522,292.581050,5.469,5.355
-41.502329,291.455834,5.464,5.353
-36.628698,290.325393,5.459,5.351
-31.757847,289.190620,5.454,5.349
-26.888994,288.052409,5.450,5.347
-22.021357,286.911653,5.445,5.345
-17.154155,285.769244,5.440,5.343
-12.286757,284.625921,5.435,5.341
-7.419067,283.481880,5.431,5.338
-2.551105,282.337199,5.426,5.336
2.317108,281.191954,5.421,5.334
7.185552,280.046222,5.416,5.332
12.054206,278.900080,5.412,5.330
16.92305,277.753606,5.407,5.328
21.792063,276.606876,5.402,5.326
26.661224,275.459967,5.397,5.324
31.530514,274.312956,5.393,5.322
36.399912,273.165920,5.388,5.320
41.269396,272.018936,5.383,5.318
46.138948,270.872081,5.378,5.316
51.008546,269.725432,5.374,5.314
55.878169,268.579066,5.369,5.311
60.747797,267.433061,5.364,5.309
65.617411,266.287486,5.359,5.307
70.487002,265.142346,5.355,5.305
75.356568,263.997597,5.350,5.303
80.226108,262.853197,5.345,5.301
85.09562,261.709102,5.340,5.299
89.965102,260.565269,5.336,5.297
94.834553,259.421654,5.331,5.295
99.703972,258.278214,5.326,5.293
104.573357,257.134907,5.321,5.291
109.442707,255.991688,5.333,5.314
114.312019,254.848514,5.347,5.340
119.181294,253.705343,5.361,5.367
124.050528,252.562130,5.375,5.393
128.91972,251.418833,5.389,5.420
133.78887,250.275408,5.402,5.446
138.657975,249.131811,5.401,5.449
143.527034,247.988001,5.400,5.451
148.396046,246.843932,5.398,5.453
153.265009,245.699563,5.396,5.455
158.133921,244.554849,5.395,5.456
163.002781,243.409748,5.393,5.458
167.871587,242.264216,5.391,5.460
172.740338,241.118210,5.390,5.462
177.609033,239.971686,5.388,5.464
182.47767,238.824601,5.387,5.466
187.346246,237.676913,5.385,5.468
192.214762,236.528577,5.383,5.470
197.083216,235.379550,5.382,5.472
201.951605,234.229789,5.380,5.474
206.819928,233.079251,5.378,5.476
211.688184,231.927893,5.377,5.478
216.556372,230.775671,5.375,5.480
221.424492,229.622568,5.374,5.482
226.292585,228.468864,5.372,5.484
231.160709,227.315020,5.370,5.486
236.028927,226.161502,5.369,5.488
240.897301,225.008773,5.367,5.490
245.765891,223.857298,5.366,5.492
250.634758,222.707542,5.364,5.494
255.503965,221.559969,5.362,5.496
260.373572,220.415045,5.361,5.498
265.24364,219.273233,5.359,5.500
270.114232,218.134999,5.357,5.502
274.985408,217.000807,5.356,5.504
279.85723,215.871121,5.354,5.506
284.729758,214.746407,5.353,5.508
289.603055,213.627129,5.351,5.509
294.477182,212.513751,5.349,5.511
299.352085,211.406164,5.348,5.513
304.226515,210.298202,5.346,5.515
309.098503,209.180075,5.344,5.517
313.96607,208.041939,5.343,5.519
318.827237,206.873954,5.341,5.521
323.680026,205.666277,5.373,5.496
328.522459,204.409068,5.601,5.310
333.352557,203.092485,5.726,5.204
338.16776,201.706279,5.563,5.320
342.959534,200.236016,5.568,5.294
347.715828,198.664797,5.617,5.239
352.424547,196.975694,5.604,5.308
357.073593,195.151775,5.590,5.378
361.650872,193.176112,5.388,5.558
366.144288,191.031774,5.154,5.756
370.541745,188.701833,5.289,5.609
374.831193,186.169539,5.576,5.320
379.003949,183.431247,5.963,4.926
383.056912,180.505039,5.661,5.232
386.987505,177.411043,5.259,5.654
390.793273,174.169402,5.414,5.553
394.480308,170.801409,5.569,5.453
398.06872,167.330241,5.623,5.433
401.579919,163.779252,5.591,5.481
405.03523,160.171698,5.558,5.530
408.450066,156.524236,5.651,5.401
411.830242,152.842812,5.790,5.206
415.180694,149.132385,5.769,5.193
418.506357,145.397919,5.486,5.476
421.812167,141.644376,5.208,5.755
425.10306,137.876717,5.274,5.714
428.383972,134.099905,5.341,5.674
431.659811,130.318875,5.407,5.633
434.933789,126.536814,5.474,5.593
438.206407,122.754126,5.541,5.552
441.477925,118.970966,5.545,5.543
444.748604,115.187488,5.535,5.540
448.018703,111.403845,5.524,5.538
451.288483,107.620194,5.514,5.536
454.558203,103.836688,5.503,5.533
457.828124,100.053482,5.493,5.531
461.098505,96.270730,5.482,5.529
464.369607,92.488586,5.472,5.527
467.64169,88.707206,5.462,5.524
470.915014,84.926744,5.451,5.522
474.189839,81.147354,5.441,5.520
477.466425,77.369190,5.430,5.517
