x,y,wide_right,wide_left
-7.069203,-2.417188,7.064,7.027
-11.86834,-3.818963,7.045,7.010
-16.667503,-5.220542,7.026,6.993
-21.466694,-6.621922,7.008,6.976
-26.265916,-8.023103,6.989,6.959
-31.065171,-9.424083,6.970,6.942
-35.864463,-10.824861,6.951,6.925
-40.663792,-12.225436,6.932,6.908
-45.463163,-13.625805,6.913,6.890
-50.262577,-15.025968,6.894,6.873
-55.062038,-16.425923,6.875,6.856
-59.861547,-17.825669,6.856,6.839
-64.661107,-19.225205,6.837,6.822
-69.46072,-20.624528,6.818,6.805
-74.26039,-22.023639,6.799,6.788
-79.060119,-23.422535,6.780,6.771
-83.859909,-24.821214,6.761,6.754
-88.659762,-26.219677,6.742,6.737
-93.459682,-27.617921,6.723,6.720
-98.259671,-29.015944,6.704,6.702
-103.059731,-30.413747,6.685,6.685
-107.859866,-31.811326,6.666,6.668
-112.660076,-33.208681,6.647,6.651
-117.460366,-34.605811,6.628,6.634
-122.260737,-36.002713,6.609,6.617
-127.061193,-37.399388,6.590,6.600
-131.861735,-38.795832,6.571,6.583
-136.662366,-40.192046,6.552,6.566
-141.463089,-41.588027,6.533,6.549
-146.263906,-42.983774,6.514,6.532
-151.064819,-44.379286,6.495,6.515
-155.865833,-45.774561,6.476,6.497
-160.666947,-47.169599,6.457,6.480
-165.468167,-48.564397,6.439,6.463
-170.269493,-49.958955,6.420,6.446
-175.070929,-51.353270,6.401,6.429
-179.872476,-52.747342,6.382,6.412
-184.674138,-54.141169,6.363,6.395
-189.475917,-55.534750,6.344,6.378
-194.277816,-56.928084,6.325,6.361
-199.079837,-58.321168,6.306,6.344
-203.881982,-59.714002,6.287,6.327
-208.684255,-61.106585,6.268,6.309
-213.486657,-62.498915,6.249,6.292
-218.289192,-63.890990,6.230,6.275
-223.091861,-65.282809,6.211,6.258
-227.894668,-66.674371,6.192,6.241
-232.697615,-68.065675,6.173,6.224
-237.500704,-69.456719,6.154,6.207
-242.303937,-70.847502,6.135,6.190
-247.10727,-72.238389,6.116,6.173
-251.910528,-73.630732,6.097,6.156
-256.713513,-75.026046,6.078,6.139
-261.516029,-76.425846,6.059,6.122
-266.31788,-77.831647,6.040,6.104
-271.118868,-79.244964,6.021,6.087
-275.918798,-80.667314,6.002,6.070
-280.717473,-82.100211,5.983,6.053
-285.514696,-83.545171,5.964,6.036
-290.310271,-85.003709,5.920,6.094
-295.104,-86.477340,5.873,6.156
-299.897138,-87.957235,5.827,6.218
-304.698008,-89.384107,5.781,6.280
-309.517086,-90.683313,5.735,6.342
-314.364849,-91.780205,5.998,5.820
-319.251773,-92.600134,6.307,5.210
-324.187505,-93.067682,6.337,5.023
-329.133437,-93.062644,6.169,5.137
-333.977052,-92.396225,5.986,5.224
-338.601462,-90.883212,5.765,5.355
-342.925818,-88.518042,5.338,5.737
-346.901667,-85.456680,5.246,5.772
-350.48176,-81.860262,5.778,5.163
-353.621473,-77.857626,5.873,4.871
-356.28015,-73.528831,5.455,4.952
-358.41746,-68.949886,5.152,5.025
-359.993076,-64.196803,4.930,5.090
-360.966669,-59.345593,4.900,5.004
-361.308033,-54.467288,4.998,4.797
-361.07571,-49.589267,5.072,4.553
-360.374207,-44.716307,5.098,4.430
-359.308417,-39.852991,5.076,4.425
-357.983235,-35.003902,5.054,4.419
-356.503553,-30.173624,5.047,4.440
-354.96696,-25.366237,5.042,4.467
-353.407823,-20.581474,5.037,4.494
-351.828122,-15.816841,5.033,4.521
-350.229571,-11.069823,5.028,4.548
-348.613887,-6.337907,5.023,4.574
-346.982784,-1.618580,5.018,4.601
-345.33798,3.090671,5.014,4.628
-343.681188,7.792361,5.009,4.655
-342.014124,12.489002,5.004,4.681
-340.338505,17.183108,5.000,4.708
-338.656045,21.877192,4.995,4.735
-336.96846,26.573766,4.988,4.763
-335.277501,31.274628,4.963,4.808
-333.585005,35.979756,4.937,4.853
-331.892826,40.688839,4.912,4.898
-330.202815,45.401567,4.902,4.898
-328.516824,50.117631,4.891,4.899
-326.836706,54.836720,4.881,4.900
-325.164313,59.558524,4.870,4.900
-323.501498,64.282734,4.860,4.901
-321.850112,69.009040,4.850,4.901
-320.212008,73.737131,4.839,4.902
-318.589039,78.466698,4.829,4.903
-316.981982,83.197151,4.818,4.903
-315.37211,87.922832,4.808,4.904
-313.723689,92.633665,4.797,4.905
-312.000419,97.319425,4.787,4.905
-310.166,101.969886,4.922,4.756
-308.18413,106.574824,5.143,4.518
-305.994324,111.092665,5.364,4.281
-303.424657,115.337383,5.230,4.577
-300.271395,119.081574,5.070,4.911
-296.436477,122.176854,5.167,4.849
-292.087952,124.673831,5.236,4.805
-287.435101,126.653948,5.226,4.810
-282.658544,128.198739,5.195,4.817
-277.810702,129.390154,5.077,4.832
-272.908158,130.310259,4.960,4.848
-267.967495,131.041120,4.887,4.860
-263.005296,131.664802,4.891,4.866
-258.038,132.262664,4.895,4.873
-253.075069,132.881566,4.898,4.879
-248.115978,133.518999,4.902,4.886
-243.159435,134.168657,4.906,4.892
-238.204147,134.824230,4.910,4.898
-233.248821,135.479412,4.913,4.905
-228.292179,136.127959,4.917,4.911
-223.333579,136.766769,4.921,4.917
-218.373296,137.397234,4.924,4.924
-213.411676,138.021089,4.928,4.930
-208.449064,138.640073,4.932,4.937
-203.485806,139.255921,4.935,4.943
-198.522245,139.870371,4.939,4.949
-193.558729,140.485160,4.943,4.956
-188.5956,141.102025,4.946,4.962
-183.633206,141.722702,4.950,4.968
-178.671891,142.348928,4.954,4.975
-173.712,142.982440,4.957,4.981
-168.753818,143.624666,4.961,4.988
-163.79713,144.274472,4.965,4.994
-158.841469,144.929451,4.969,5.000
-153.886372,145.587190,4.972,5.007
-148.931371,146.245274,4.976,5.013
-143.976,146.901289,4.980,5.019
-139.019794,147.552821,4.983,5.026
-134.062285,148.197455,4.987,5.032
-129.103009,148.832777,4.991,5.039
-124.141499,149.456372,4.994,5.045
-119.177288,150.065827,4.998,5.051
-114.209972,150.659054,5.002,5.058
-109.240197,151.239628,5.005,5.064
-104.269498,151.815906,5.009,5.070
-99.299437,152.396399,5.013,5.077
-94.331577,152.989614,5.016,5.083
-89.367481,153.604061,5.020,5.089
-84.408713,154.248248,5.024,5.096
-79.456834,154.930685,5.028,5.102
-74.513408,155.659880,5.031,5.109
-69.579997,156.444342,4.935,5.178
-64.658165,157.292581,4.758,5.299
-59.749473,158.213104,4.581,5.421
-54.874659,159.257117,4.598,5.372
-50.139678,160.665594,4.730,5.224
-45.674083,162.731814,4.900,5.150
-41.583096,165.611786,5.098,5.135
-37.912152,169.124218,5.190,5.058
-34.696673,173.038513,5.132,5.052
-31.925075,177.198022,4.787,5.304
-29.519431,181.550467,4.858,5.280
-27.396803,186.051448,4.929,5.257
-25.474254,190.656567,4.948,5.227
-23.668848,195.321425,4.952,5.196
-21.898444,200.002050,4.955,5.164
-20.117912,204.674382,4.959,5.132
-18.334026,209.342285,4.962,5.101
-16.557442,214.011710,4.966,5.069
-14.798818,218.688608,4.969,5.037
-13.06881,223.378931,4.973,5.006
-11.371647,228.085643,4.977,4.974
-9.659397,232.787457,4.980,4.942
-7.858791,237.451309,4.984,4.911
-5.896394,242.044057,5.021,4.869
-3.698771,246.532560,5.126,4.806
-1.192485,250.883674,5.206,4.791
1.694684,255.044043,5.253,4.842
5.025179,258.797500,5.314,4.856
8.856719,261.849306,5.483,4.601
13.207035,264.002852,5.651,4.346
17.922502,265.484460,5.433,4.554
22.803785,266.633447,5.172,4.812
27.705799,267.699254,4.922,5.060
32.609979,268.721732,4.926,5.054
37.515758,269.710909,4.930,5.049
42.422571,270.676814,4.934,5.043
47.329851,271.629474,4.937,5.038
52.237034,272.578908,4.941,5.032
57.143717,273.532305,4.945,5.027
62.049875,274.490266,4.949,5.021
66.955535,275.452453,4.952,5.016
71.860727,276.418529,4.956,5.010
76.765478,277.388157,4.960,5.005
81.669817,278.361001,4.964,4.999
86.573773,279.336722,4.968,4.994
91.477374,280.314985,4.971,4.988
96.380649,281.295451,4.975,4.983
101.283625,282.277785,4.979,4.977
106.186331,283.261648,4.983,4.972
111.088796,284.246708,4.986,4.966
115.991053,285.232716,4.990,4.961
120.893139,286.219485,4.994,4.955
125.795091,287.206830,4.998,4.950
130.696945,288.194568,5.002,4.944
135.598738,289.182515,5.005,4.939
140.500507,290.170486,5.009,4.933
145.40229,291.158296,5.013,4.928
150.304122,292.145763,5.017,4.922
155.206041,293.132701,5.021,4.917
160.108083,294.118927,5.024,4.911
165.010286,295.104257,5.028,4.906
169.912685,296.088505,5.032,4.900
