x,y,wide_right,wide_left
1.667053,-6.558454,6.112,5.981
1.895039,-11.553765,6.107,5.973
2.123181,-16.549066,6.102,5.965
2.351482,-21.544355,6.097,5.957
2.579949,-26.539632,6.092,5.949
2.808586,-31.534897,6.087,5.941
3.037398,-36.530149,6.082,5.933
3.26639,-41.525388,6.077,5.925
3.495567,-46.520612,6.072,5.917
3.724933,-51.515823,6.067,5.909
3.954495,-56.511018,6.062,5.901
4.184257,-61.506198,6.057,5.893
4.414224,-66.501363,6.052,5.885
4.644401,-71.496511,6.047,5.877
4.874792,-76.491642,6.042,5.869
5.105382,-81.486757,6.037,5.861
5.336049,-86.481861,6.032,5.853
5.566638,-91.476962,6.027,5.845
5.796991,-96.472068,6.022,5.837
6.026955,-101.467185,6.017,5.829
6.256372,-106.462321,6.012,5.821
6.485089,-111.457484,6.007,5.813
6.712949,-116.452680,6.002,5.805
6.939796,-121.447917,5.997,5.797
7.165476,-126.443203,5.992,5.789
7.389832,-131.438545,5.987,5.781
7.612709,-136.433949,5.982,5.773
7.833951,-141.429425,5.977,5.765
8.053404,-146.424978,5.972,5.757
8.27091,-151.420617,5.967,5.749
8.486315,-156.416349,5.962,5.741
8.699463,-161.412181,5.957,5.733
8.910199,-166.408120,5.952,5.725
9.118366,-171.404174,5.947,5.717
9.32381,-176.400350,5.942,5.709
9.526375,-181.396656,5.937,5.701
9.725904,-186.393099,5.932,5.693
9.922244,-191.389686,5.927,5.682
10.115238,-196.386425,5.923,5.671
10.30473,-201.383324,5.919,5.660
10.490565,-206.380388,5.977,5.705
10.672587,-211.377627,6.038,5.754
10.850641,-216.375046,6.100,5.802
11.024572,-221.372655,6.161,5.851
11.194223,-226.370459,6.222,5.899
11.359439,-231.368467,6.284,5.947
11.520065,-236.366685,6.345,5.996
11.675944,-241.365122,6.406,6.044
11.826922,-246.363784,6.468,6.092
11.972961,-251.362670,6.529,6.141
12.11459,-256.361739,6.590,6.189
12.252508,-261.360938,6.652,6.237
12.387415,-266.360212,6.713,6.286
12.52001,-271.359507,6.775,6.334
12.650992,-276.358770,6.836,6.382
12.781061,-281.357948,6.897,6.431
12.910915,-286.356985,6.959,6.479
13.041254,-291.355830,7.020,6.528
13.172778,-296.354427,7.081,6.576
13.306186,-301.352724,7.143,6.624
13.442176,-306.350666,7.204,6.673
13.581449,-311.348200,7.265,6.721
13.724703,-316.345272,7.327,6.769
13.872638,-321.341828,7.388,6.818
14.025953,-326.337815,7.450,6.866
14.185345,-331.333178,7.511,6.914
14.350535,-336.328062,7.572,6.963
14.518713,-341.323115,7.634,7.011
14.686664,-346.319069,7.695,7.060
14.851172,-351.316655,7.756,7.108
15.009022,-356.316604,7.818,7.156
15.156999,-361.319648,7.879,7.205
15.291888,-366.326518,7.941,7.253
15.410473,-371.337944,8.002,7.301
15.501638,-376.353030,8.063,7.350
15.48572,-381.356743,8.125,7.398
15.247862,-386.326798,8.117,7.434
14.672917,-391.240846,8.024,7.456
13.647672,-396.076852,7.930,7.477
12.159092,-400.828869,8.035,7.582
10.34093,-405.514528,8.236,7.727
8.338631,-410.153338,8.438,7.872
6.297635,-414.764805,8.639,8.018
4.336319,-419.366647,8.841,8.163
2.450454,-423.968470,9.043,8.308
0.601117,-428.577583,9.244,8.454
-1.25062,-433.201296,9.446,8.599
-3.13615,-437.843407,9.647,8.744
-5.052938,-442.491903,9.849,8.889
-6.988904,-447.130318,10.050,9.035
-8.931963,-451.742190,10.252,9.180
-10.892146,-456.297757,10.453,9.325
-13.264881,-460.535516,10.586,9.426
-16.727763,-464.009666,9.414,8.673
-21.221781,-466.475378,8.245,7.921
-26.090589,-467.854528,7.467,7.070
-30.930587,-468.015304,7.387,6.623
-35.569705,-466.807089,7.480,6.880
-40.006764,-464.546894,7.361,7.656
-44.373098,-461.929338,7.315,7.854
-48.763705,-459.446964,7.301,7.782
-53.182002,-457.106468,7.288,7.710
-57.618695,-454.847083,7.275,7.638
-62.064497,-452.608124,7.262,7.566
-66.512375,-450.347506,7.249,7.494
-70.960414,-448.065380,7.236,7.422
-75.407404,-445.767723,7.223,7.350
-79.852136,-443.460514,7.210,7.278
-84.293464,-441.149110,7.197,7.206
-88.730716,-438.834225,7.184,7.134
-93.163437,-436.514470,7.171,7.062
-97.591174,-434.188443,7.158,6.990
-102.013472,-431.854742,7.145,6.918
-106.429876,-429.511966,7.131,6.846
-110.839932,-427.158714,7.118,6.774
-115.243186,-424.793584,7.105,6.702
-119.639184,-422.415175,7.092,6.630
-124.027652,-420.022520,7.041,6.614
-128.409046,-417.616382,6.991,6.598
-132.784002,-415.197960,6.940,6.582
-137.153155,-412.768454,6.889,6.565
-141.517142,-410.329060,6.839,6.549
-145.876598,-407.880978,6.788,6.533
-150.23216,-405.425406,6.737,6.517
-154.584465,-402.963543,6.687,6.501
-158.934147,-400.496586,6.636,6.485
-163.281843,-398.025735,6.585,6.468
-167.62819,-395.552187,6.535,6.452
-171.973823,-393.077140,6.484,6.436
-176.319378,-390.601795,6.433,6.420
-180.665491,-388.127347,6.382,6.404
-185.0128,-385.654997,6.332,6.388
-189.361939,-383.185943,6.283,6.372
-193.713543,-380.721380,6.279,6.373
-198.068001,-378.262044,6.275,6.374
-202.425164,-375.807668,6.271,6.375
-206.784812,-373.357851,6.267,6.377
-211.146725,-370.912192,6.263,6.378
-215.510682,-368.470291,6.260,6.379
-219.876463,-366.031747,6.256,6.380
-224.243849,-363.596160,6.252,6.381
-228.612619,-361.163130,6.248,6.382
-232.982553,-358.732256,6.244,6.383
-237.353432,-356.303137,6.240,6.385
-241.725035,-353.875373,6.236,6.386
-246.097141,-351.448564,6.232,6.387
-250.469532,-349.022309,6.228,6.388
-254.841986,-346.596207,6.225,6.389
-259.214285,-344.169859,6.221,6.390
-263.586206,-341.742863,6.217,6.391
-267.957535,-339.314824,6.213,6.392
-272.328163,-336.885546,6.209,6.394
-276.698119,-334.455079,6.205,6.395
-281.067441,-332.023487,6.201,6.396
-285.436165,-329.590835,6.197,6.397
-289.804331,-327.157189,6.193,6.398
-294.171974,-324.722614,6.189,6.399
-298.539133,-322.287174,6.186,6.400
-302.905845,-319.850935,6.182,6.401
-307.272148,-317.413962,6.178,6.403
