x,y,wide_right,wide_left
1.802793,4.310208,7.471,7.222
3.095839,9.137990,7.428,7.203
4.397071,13.963780,7.385,7.184
5.705633,18.787776,7.342,7.165
7.02067,23.610176,7.299,7.146
8.341324,28.431178,7.256,7.127
9.666742,33.250980,7.214,7.108
10.996067,38.069780,7.171,7.089
12.328443,42.887774,7.128,7.070
13.663014,47.705163,7.085,7.051
14.998926,52.522142,7.042,7.032
16.335321,57.338910,6.999,7.013
17.671344,62.155664,6.957,6.994
19.00614,66.972604,6.914,6.975
20.338853,71.789925,6.871,6.956
21.668627,76.607827,6.828,6.937
22.994606,81.426507,6.785,6.918
24.315935,86.246163,6.742,6.899
25.631757,91.066993,6.700,6.880
26.941217,95.889194,6.657,6.861
28.24346,100.712965,6.614,6.842
29.537629,105.538503,6.571,6.823
30.822922,110.365997,6.528,6.804
32.099386,115.195501,6.486,6.785
33.367753,120.026958,6.511,6.816
34.628771,124.860307,6.585,6.881
35.883191,129.695489,6.659,6.946
37.131763,134.532444,6.733,7.012
38.375236,139.371112,6.807,7.077
39.614361,144.211432,6.881,7.142
40.849887,149.053347,6.955,7.207
42.082564,153.896794,7.029,7.273
43.313143,158.741715,7.103,7.338
44.542373,163.588049,7.177,7.403
45.771003,168.435737,7.251,7.469
46.999785,173.284718,7.325,7.534
48.228152,178.135100,7.399,7.599
49.449963,182.987691,7.473,7.665
50.6576,187.843489,7.547,7.730
51.843447,192.703490,7.621,7.795
52.999886,197.568691,7.713,7.846
54.1193,202.440088,7.972,7.763
55.194072,207.318678,8.230,7.681
56.216584,212.205458,8.213,8.073
57.179219,217.101423,8.150,8.545
58.074359,222.007571,8.264,8.786
58.894388,226.924898,8.393,9.009
59.631689,231.854400,8.583,8.886
60.278643,236.797075,8.781,8.724
60.82772,241.753888,8.842,8.701
61.275224,246.724480,8.760,8.823
61.622726,251.706668,8.785,8.909
61.872177,256.698137,8.882,8.970
62.025531,261.696572,8.916,8.973
62.08474,266.699658,8.814,8.853
62.051758,271.705080,8.726,8.736
61.928536,276.710523,8.663,8.625
61.717027,281.713673,8.593,8.515
61.419185,286.712213,8.507,8.407
61.036962,291.703831,8.391,8.287
60.57231,296.686209,8.204,8.140
60.027183,301.657034,8.007,7.992
59.403535,306.613994,7.737,7.833
58.704098,311.555757,7.467,7.674
57.933446,316.483326,7.233,7.370
57.096427,321.398045,7.001,7.060
56.197886,326.301258,6.642,7.038
55.242669,331.194310,6.256,7.081
