x,y,wide_right,wide_left
-6.207517,-3.033428,7.140,7.117
-11.191183,-2.609399,7.136,7.107
-16.174804,-2.184831,7.133,7.096
-21.158379,-1.759712,7.130,7.086
-26.141907,-1.334025,7.127,7.075
-31.125385,-0.907758,7.123,7.065
-36.108812,-0.480894,7.120,7.054
-41.092187,-0.053420,7.117,7.043
-46.075508,0.374678,7.114,7.033
-51.058775,0.803417,7.110,7.022
-56.041985,1.232809,7.107,7.012
-61.025137,1.662870,7.104,7.001
-66.00823,2.093614,7.100,6.991
-70.991262,2.525056,7.097,6.980
-75.974231,2.957210,7.094,6.970
-80.957138,3.390090,7.091,6.959
-85.939979,3.823713,7.087,6.948
-90.922753,4.258090,7.084,6.938
-95.905459,4.693239,7.081,6.927
-100.888096,5.129172,7.077,6.917
-105.870662,5.565905,7.074,6.906
-110.853156,6.003451,7.071,6.896
-115.835576,6.441827,7.068,6.885
-120.817921,6.881044,7.069,6.882
-125.80019,7.321098,7.079,6.893
-130.782382,7.761964,7.089,6.904
-135.764496,8.203619,7.099,6.915
-140.746532,8.646041,7.109,6.925
-145.728489,9.089204,7.119,6.936
-150.710367,9.533086,7.129,6.947
-155.692165,9.977663,7.139,6.958
-160.673882,10.422911,7.150,6.969
-165.655517,10.868806,7.160,6.979
-170.637071,11.315326,7.170,6.990
-175.618542,11.762446,7.180,7.001
-180.599929,12.210143,7.190,7.012
-185.581233,12.658393,7.200,7.022
-190.562451,13.107173,7.210,7.033
-195.543585,13.556459,7.220,7.044
-200.524632,14.006227,7.230,7.055
-205.505593,14.456454,7.240,7.065
-210.486466,14.907116,7.250,7.076
-215.467252,15.358189,7.260,7.087
-220.447949,15.809651,7.270,7.098
-225.428557,16.261476,7.280,7.109
-230.409075,16.713643,7.290,7.119
-235.389502,17.166126,7.300,7.130
-240.369838,17.618904,7.310,7.141
-245.350083,18.071950,7.320,7.152
-250.330235,18.525244,7.330,7.162
-255.310293,18.978759,7.340,7.173
-260.290258,19.432474,7.350,7.184
-265.270129,19.886365,7.360,7.195
-270.249904,20.340407,7.370,7.205
-275.229584,20.794577,7.380,7.216
-280.209167,21.248852,7.390,7.227
-285.188653,21.703208,7.400,7.238
-290.168042,22.157621,7.410,7.248
-295.147551,22.612921,7.420,7.259
-300.129172,23.076868,7.430,7.270
-305.115762,23.560583,7.440,7.281
-310.110179,24.075214,7.410,7.298
-315.112814,24.613551,7.180,7.347
-320.104132,25.020361,6.949,7.396
-325.054971,25.068896,6.725,7.442
-329.936107,24.531946,6.912,7.312
-334.715325,23.185017,6.983,7.263
-339.226232,20.925391,6.795,7.391
-343.123093,17.820459,6.782,7.348
-346.301707,14.027443,6.860,7.214
-349.001313,9.807924,6.787,7.210
-351.399369,5.386330,6.670,7.244
-353.316485,0.802379,6.579,7.262
-354.562925,-3.950656,6.622,7.201
-355.28414,-8.873534,6.665,7.141
-355.686304,-13.955520,6.875,7.175
-355.59888,-19.033680,7.196,7.273
-354.583864,-23.838344,6.900,7.553
-352.591643,-28.276553,6.542,7.850
-349.87836,-32.394137,6.899,7.627
-346.652663,-36.210714,7.344,7.340
-343.002232,-39.680829,7.338,7.423
-338.998788,-42.750449,7.246,7.576
-334.714055,-45.365535,7.165,7.693
-330.217052,-47.486287,7.092,7.777
-325.55766,-49.173690,7.023,7.858
-320.777498,-50.532238,7.062,7.856
-315.918151,-51.666596,7.101,7.854
-311.020763,-52.680443,7.140,7.852
-306.110959,-53.642884,7.179,7.850
-301.195158,-54.580232,7.218,7.848
-296.278584,-55.516140,7.257,7.846
-291.366464,-56.474260,7.296,7.844
-286.46268,-57.471940,7.335,7.842
-281.566062,-58.502811,7.374,7.841
-276.674254,-59.554924,7.413,7.839
-271.7849,-60.616333,7.453,7.837
-266.895643,-61.675091,7.492,7.835
-262.004126,-62.719252,7.531,7.833
-257.107993,-63.736868,7.570,7.831
-252.204886,-64.715992,7.609,7.829
-247.292605,-65.645482,7.648,7.827
-242.371045,-66.525118,7.682,7.821
-237.441619,-67.362564,7.660,7.768
-232.50577,-68.165656,7.639,7.714
-227.564944,-68.942232,7.617,7.661
-222.620584,-69.700129,7.596,7.608
-217.674137,-70.447183,7.574,7.555
-212.727046,-71.191233,7.553,7.501
-207.780757,-71.940115,7.531,7.448
-202.836564,-72.700853,7.510,7.395
-197.894753,-73.474991,7.488,7.342
-192.955196,-74.261810,7.467,7.289
-188.017761,-75.060582,7.445,7.235
-183.082316,-75.870582,7.424,7.182
-178.148731,-76.691083,7.402,7.129
-173.216874,-77.521359,7.381,7.076
-168.286613,-78.360682,7.359,7.022
-163.357819,-79.208327,7.338,6.969
-158.430359,-80.063567,7.316,6.916
-153.504102,-80.925676,7.321,6.934
-148.578917,-81.793926,7.331,6.966
-143.654673,-82.667592,7.340,6.997
-138.731239,-83.545947,7.350,7.029
-133.808483,-84.428264,7.360,7.060
-128.886275,-85.313818,7.369,7.092
-123.964482,-86.201881,7.379,7.124
-119.042978,-87.091751,7.389,7.155
-114.121698,-87.983053,7.399,7.187
-109.200614,-88.875633,7.408,7.219
-104.279703,-89.769346,7.418,7.250
-99.358941,-90.664043,7.428,7.282
-94.438303,-91.559580,7.437,7.313
-89.517765,-92.455808,7.447,7.345
-84.597302,-93.352580,7.457,7.377
-79.67689,-94.249750,7.466,7.408
-74.756504,-95.147172,7.476,7.440
-69.836121,-96.044697,7.486,7.472
-64.915716,-96.942179,7.496,7.503
-59.995264,-97.839472,7.505,7.535
-55.074741,-98.736428,7.515,7.566
-50.154123,-99.632901,7.525,7.598
