x,y,wide_right,wide_left
-4.949633,1.005404,6.840,6.926
-9.841961,2.035680,6.914,6.936
-14.734094,3.066592,6.985,6.944
-19.625916,4.098627,6.985,6.914
-24.517314,5.132272,6.986,6.883
-29.408174,6.168013,6.987,6.853
-34.29838,7.206337,6.988,6.822
-39.187819,8.247730,6.988,6.791
-44.076376,9.292679,6.989,6.761
-48.963951,10.341642,6.990,6.730
-53.85047,11.395008,6.991,6.700
-58.735867,12.453161,6.991,6.669
-63.620072,13.516483,6.992,6.638
-68.503018,14.585357,6.993,6.608
-73.384636,15.660166,6.993,6.577
-78.264859,16.741292,6.994,6.547
-83.143617,17.829117,6.995,6.516
-88.020843,18.924025,6.996,6.486
-92.896469,20.026398,6.992,6.461
-97.770426,21.136618,6.958,6.480
-102.642646,22.255069,6.924,6.500
-107.513062,23.382132,6.889,6.519
-112.381604,24.518191,6.855,6.539
-117.248204,25.663628,6.820,6.559
-122.112795,26.818826,6.786,6.578
-126.975308,27.984167,6.752,6.598
-131.835761,29.159576,6.717,6.617
-136.69451,30.343190,6.683,6.637
-141.551992,31.532712,6.648,6.657
-146.408644,32.725846,6.614,6.676
-151.264904,33.920295,6.580,6.696
-156.121208,35.113761,6.545,6.715
-160.977994,36.303948,6.511,6.735
-165.835699,37.488558,6.471,6.725
-170.694761,38.665295,6.420,6.661
-175.555616,39.831862,6.369,6.597
-180.418703,40.985961,6.318,6.532
-185.284457,42.125296,6.267,6.468
-190.153317,43.247570,6.215,6.404
-195.02572,44.350485,6.164,6.339
-199.902104,45.431746,6.113,6.275
-204.782904,46.489054,6.062,6.210
-209.668559,47.520173,6.011,6.146
-214.55947,48.534300,5.960,6.082
-219.455965,49.565412,5.909,6.017
-224.358361,50.650732,5.858,5.953
-229.266853,51.827110,5.807,5.888
-234.158894,53.061580,5.756,5.824
-238.963181,54.170834,5.705,5.760
-243.696561,55.117336,5.654,5.695
-248.580696,56.222013,5.603,5.631
-253.77061,57.666186,5.576,5.315
-258.754694,58.300496,5.241,5.524
-262.844909,56.661114,4.813,5.780
-266.156663,53.155773,4.967,5.066
-269.147947,48.987880,5.392,5.383
-272.083638,44.835419,5.465,5.459
-274.988525,40.723831,5.537,5.536
-277.872562,36.638222,5.610,5.612
-280.745701,32.563701,5.682,5.689
-283.616147,28.488042,5.754,5.765
-286.485524,24.409080,5.827,5.842
-289.353906,20.327017,5.883,5.898
-292.221366,16.242056,5.902,5.908
-295.087977,12.154400,5.921,5.918
-297.953814,8.064250,5.939,5.929
-300.818948,3.971810,5.958,5.939
-303.683454,-0.122717,5.977,5.949
-306.547405,-4.219130,5.996,5.959
-309.410875,-8.317226,6.014,5.969
-312.273936,-12.416801,6.033,5.979
-315.136663,-16.517653,6.052,5.989
-317.999128,-20.619580,6.071,6.000
-320.861405,-24.722379,6.089,6.010
-323.723567,-28.825847,6.108,6.020
-326.585688,-32.929783,6.127,6.030
-329.447841,-37.033982,6.146,6.040
-332.3101,-41.138242,6.164,6.050
-335.172538,-45.242362,6.183,6.060
-338.035228,-49.346138,6.202,6.071
-340.898244,-53.449367,6.221,6.081
-343.761658,-57.551848,6.239,6.091
-346.625546,-61.653377,6.258,6.101
-349.489979,-65.753751,6.277,6.111
-352.355031,-69.852769,6.296,6.121
-355.220776,-73.950227,6.314,6.131
-358.087287,-78.045923,6.333,6.142
-360.954638,-82.139655,6.352,6.152
-363.822901,-86.231219,6.371,6.162
-366.692151,-90.320413,6.389,6.172
-369.56246,-94.407034,6.408,6.182
-372.433902,-98.490881,6.427,6.192
-375.306551,-102.571749,6.446,6.202
-378.180479,-106.649437,6.464,6.213
-381.055369,-110.724429,6.483,6.223
-383.929439,-114.799779,6.502,6.233
-386.800568,-118.879139,6.521,6.243
-389.666632,-122.966162,6.540,6.253
-392.525508,-127.064502,6.558,6.263
-395.375074,-131.177810,6.577,6.274
-398.213207,-135.309741,6.596,6.284
-401.037785,-139.463947,6.615,6.294
-403.847974,-143.642589,6.633,6.304
-406.660539,-147.827457,6.652,6.314
-409.504985,-151.985598,6.671,6.324
-412.411099,-156.083731,6.690,6.334
-415.408668,-160.088576,6.708,6.345
-418.527478,-163.966851,6.746,6.366
-421.797318,-167.685274,6.855,6.427
-425.247974,-171.210566,6.960,6.472
-428.909104,-174.509582,7.047,6.431
-432.790012,-177.570749,7.127,6.436
-436.857703,-180.427318,7.136,6.948
-441.073918,-183.118124,7.255,7.321
-445.400393,-185.682002,7.482,7.557
-449.798866,-188.157787,7.708,7.793
-454.231076,-190.584315,7.935,8.029
-458.658761,-193.000419,8.162,8.265
-463.043657,-195.444936,8.389,8.501
-467.353149,-197.952286,8.616,8.737
-471.592892,-200.526960,8.843,8.973
-475.784432,-203.161023,8.515,8.630
-479.949367,-205.846497,8.074,8.170
-484.110257,-208.575081,7.633,7.710
-488.321591,-211.327666,7.433,7.220
-492.674189,-214.053406,7.469,6.699
-497.186043,-216.080794,7.505,6.178
-501.784303,-215.989551,7.508,6.277
-505.546876,-212.924714,7.622,6.467
-506.165051,-208.252968,7.667,6.597
-504.341105,-203.546172,7.213,6.440
-502.0941,-199.055909,6.759,6.284
-499.693417,-194.670409,6.568,6.280
-497.176944,-190.354478,6.626,6.420
-494.576091,-186.089148,6.685,6.561
-491.922268,-181.855451,6.713,6.628
-489.245049,-177.635531,6.712,6.631
-486.556332,-173.422228,6.711,6.634
-483.858152,-169.214348,6.710,6.636
-481.152438,-165.010765,6.710,6.639
