x,y,wide_right,wide_left
-0.50764,-4.546369,6.536,6.553
2.424376,-8.597381,6.542,6.549
5.356714,-12.648361,6.548,6.544
8.289395,-16.699311,6.553,6.540
11.222438,-20.750233,6.559,6.535
14.155842,-24.801133,6.565,6.530
17.089308,-28.852050,6.570,6.526
20.022302,-32.903048,6.576,6.521
22.954284,-36.954195,6.582,6.517
25.884715,-41.005556,6.588,6.512
28.813054,-45.057198,6.593,6.508
31.738762,-49.109186,6.599,6.503
34.661298,-53.161588,6.605,6.498
37.580122,-57.214470,6.610,6.494
40.494547,-61.268063,6.524,6.572
43.397998,-65.329190,6.201,6.741
46.276178,-69.413327,6.183,6.221
49.114263,-73.536533,6.648,6.364
51.897431,-77.714868,6.761,6.485
54.559807,-81.978143,6.686,6.594
56.830572,-86.411357,6.594,6.565
58.404388,-91.104760,6.635,6.453
59.228343,-96.020134,6.759,6.502
59.443563,-101.020672,6.818,6.579
59.18171,-106.006135,6.814,6.636
58.542439,-110.962967,6.789,6.743
57.621103,-115.889254,6.785,6.838
56.513057,-120.783081,6.806,6.919
55.304509,-125.642722,6.886,6.879
54.014951,-130.467816,7.015,6.741
52.634324,-135.258610,7.136,6.608
51.152437,-140.015353,6.929,6.743
49.559097,-144.738294,6.723,6.877
47.846244,-149.426937,6.808,6.794
46.01421,-154.077847,6.944,6.674
44.065396,-158.686869,7.006,6.633
42.002198,-163.249847,6.947,6.723
39.827017,-167.762623,6.887,6.814
37.54225,-172.221042,6.898,6.854
35.150296,-176.620947,6.930,6.878
32.653554,-180.958182,6.962,6.903
30.054423,-185.228591,6.994,6.928
27.355416,-189.428622,7.077,6.817
24.559879,-193.559083,7.173,6.670
21.671523,-197.622694,7.142,6.665
18.694058,-201.622185,7.038,6.742
15.631197,-205.560283,6.933,6.818
12.486652,-209.439718,6.920,6.884
9.264135,-213.263217,6.912,6.949
5.967357,-217.033509,6.962,6.972
2.600029,-220.753323,7.037,6.975
-0.836843,-224.421017,7.113,6.979
-4.381195,-227.972106,7.163,6.982
-8.100145,-231.295008,7.177,6.983
-12.061515,-234.277002,7.165,6.933
-16.333129,-236.805365,7.144,6.853
-20.96097,-238.756939,7.242,6.824
-25.836431,-239.934702,7.014,7.180
-30.785578,-240.116315,7.126,7.096
-35.682466,-239.310644,7.368,6.742
-40.461164,-237.814263,6.944,6.823
-45.06732,-235.887198,6.795,6.785
-49.476179,-233.583249,6.872,6.726
-53.669979,-230.907483,6.774,6.982
-57.630959,-227.864964,7.176,7.064
-61.347745,-224.469482,7.351,7.183
-64.896686,-220.854600,7.507,7.305
-68.417857,-217.240894,7.664,7.427
-72.052767,-213.850895,7.786,7.561
-75.942923,-210.907138,7.308,7.916
-80.215595,-208.603512,7.123,8.031
-84.900335,-206.937372,7.378,7.431
-89.949342,-205.862963,7.554,6.726
-95.067227,-205.602374,7.093,6.750
-99.85906,-206.485309,6.448,7.257
-104.050864,-208.701386,6.230,7.275
-107.685496,-211.985684,6.304,7.252
-111.095315,-215.630444,6.381,7.229
-114.40522,-219.408926,6.457,7.207
-117.681118,-223.222782,6.534,7.184
-120.952164,-227.030412,6.610,7.161
-124.221826,-230.829886,6.686,7.138
-127.493045,-234.620087,6.763,7.115
-130.768759,-238.399899,6.839,7.092
-134.051911,-242.168203,6.915,7.069
-137.34544,-245.923883,6.992,7.047
-140.652287,-249.665822,7.068,7.024
-143.975392,-253.392903,7.145,7.001
-147.31764,-257.104033,7.221,6.978
-150.680149,-260.798882,7.297,6.955
-154.061964,-264.478012,7.374,6.932
-157.462014,-268.142039,7.434,6.931
-160.879226,-271.791577,7.456,6.977
-164.312527,-275.427242,7.478,7.023
-167.760843,-279.049648,7.501,7.069
