x,y,wide_right,wide_left
-1.297644,5.176372,7.198,6.437
-3.978902,9.396982,7.198,6.435
-6.659365,13.617864,7.198,6.432
-9.339253,17.838925,7.198,6.430
-12.019604,22.059745,7.198,6.428
-14.701606,26.279845,7.198,6.425
-17.386446,30.498743,7.198,6.423
-20.075312,34.715959,7.198,6.421
-22.769393,38.931013,7.198,6.418
-25.469877,43.143424,7.198,6.416
-28.177952,47.352712,7.198,6.414
-30.894807,51.558396,7.198,6.411
-33.617376,55.761988,7.198,6.409
-36.319473,59.975832,7.198,6.407
-38.967084,64.215935,7.198,6.404
-41.526192,68.498310,7.198,6.402
-43.94311,72.844375,7.198,6.400
-45.718756,77.398732,6.891,6.387
-46.537877,82.312327,6.675,6.412
-46.840984,87.464828,6.636,6.504
-46.306731,92.490115,6.764,6.369
-44.502545,96.992885,7.089,5.963
-41.450211,100.696972,6.950,6.183
-37.440751,103.437521,6.882,6.296
-32.84602,105.467399,6.899,6.290
-28.079213,107.271610,6.915,6.283
-23.392326,109.149325,6.931,6.277
-18.778674,111.098175,6.947,6.271
-14.20835,113.088727,6.963,6.265
-9.651448,115.091546,6.979,6.259
-5.082403,117.081527,6.995,6.253
-0.497568,119.055430,7.011,6.247
4.099797,121.016901,7.027,6.241
8.706434,122.969587,7.043,6.235
13.319082,124.917137,7.060,6.228
17.934481,126.863199,7.076,6.222
22.549371,128.811422,7.092,6.216
27.160492,130.765454,7.108,6.210
31.764583,132.728943,7.124,6.204
36.358959,134.704695,7.140,6.198
40.946368,136.687546,7.156,6.192
45.532558,138.667935,7.172,6.186
50.123309,140.636252,7.188,6.180
54.724317,142.583075,7.204,6.173
59.336071,144.510540,7.221,6.167
63.950823,146.439068,7.237,6.161
68.560101,148.390693,7.253,6.155
73.155429,150.387452,7.269,6.149
77.729787,152.446385,7.285,6.143
82.30567,154.483103,7.301,6.137
86.935011,156.290989,7.317,6.131
91.70649,157.108097,7.049,6.257
96.519889,156.290500,6.364,6.479
101.001811,154.160292,6.482,5.846
104.966587,151.067740,6.324,5.589
108.295006,147.344899,6.008,5.546
111.134692,143.251175,5.831,5.529
113.773221,139.005908,5.823,5.545
116.390774,134.745641,5.815,5.560
119.001982,130.481367,5.808,5.575
121.607573,126.213538,5.800,5.590
124.208279,121.942604,5.792,5.605
126.804828,117.669015,5.784,5.621
129.39795,113.393223,5.777,5.636
131.988374,109.115678,5.769,5.651
134.576831,104.836832,5.761,5.666
137.164049,100.557135,5.754,5.681
139.750758,96.277038,5.746,5.697
142.337688,91.996992,5.738,5.712
144.925568,87.717447,5.730,5.727
147.515128,83.438855,5.723,5.742
150.107098,79.161667,5.715,5.757
152.702207,74.886332,5.707,5.773
155.301184,70.613303,5.700,5.788
157.904759,66.343029,5.692,5.803
160.513655,62.075958,5.684,5.818
163.128222,57.812312,5.677,5.833
165.748247,53.551976,5.669,5.849
168.373472,49.294806,5.661,5.864
171.003639,45.040660,5.653,5.879
173.638489,40.789393,5.650,5.888
176.277764,36.540863,5.658,5.881
178.921205,32.294927,5.666,5.874
181.568553,28.051441,5.674,5.867
184.219551,23.810262,5.682,5.859
186.873939,19.571246,5.690,5.852
189.53146,15.334251,5.698,5.845
192.191854,11.099134,5.706,5.837
194.854864,6.865750,5.714,5.830
197.520231,2.633958,5.722,5.823
200.187696,-1.596388,5.730,5.816
202.857001,-5.825428,5.738,5.808
205.527887,-10.053308,5.746,5.801
