x,y,wide_right,wide_left
-2.441321,-2.153490,6.844,6.673
-5.107525,-6.381822,6.829,6.654
-7.775288,-10.609189,6.814,6.636
-10.444678,-14.835551,6.799,6.617
-13.11576,-19.060866,6.785,6.598
-15.788596,-23.285096,6.770,6.580
-18.463132,-27.508269,6.755,6.561
-21.139188,-31.730489,6.740,6.543
-23.816573,-35.951862,6.726,6.524
-26.495101,-40.172496,6.711,6.506
-29.174583,-44.392498,6.696,6.487
-31.85483,-48.611975,6.681,6.468
-34.535654,-52.831034,6.667,6.450
-37.216867,-57.049782,6.652,6.431
-39.89828,-61.268327,6.637,6.413
-42.579704,-65.486776,6.622,6.394
-45.260953,-69.705235,6.608,6.375
-47.941836,-73.923812,6.593,6.357
-50.622166,-78.142614,6.578,6.338
-53.301754,-82.361748,6.563,6.320
-55.980413,-86.581322,6.549,6.301
-58.657953,-90.801441,6.534,6.283
-61.334186,-95.022214,6.519,6.264
-64.008924,-99.243748,6.504,6.245
-66.681979,-103.466150,6.490,6.227
-69.353161,-107.689526,6.475,6.208
-72.022284,-111.913985,6.460,6.190
-74.689407,-116.139504,6.445,6.171
-77.361516,-120.362491,6.431,6.153
-80.053264,-124.575402,6.416,6.134
-82.779697,-128.770488,6.401,6.115
-85.555865,-132.939998,6.386,6.097
-88.395565,-137.076782,6.070,5.865
-91.176812,-141.238612,5.679,5.619
-93.521937,-145.605513,5.392,5.813
-95.012988,-150.354115,5.364,5.671
-94.910961,-155.200845,5.351,5.610
-92.895436,-159.704226,5.434,5.318
-90.011156,-164.002595,5.512,5.266
-86.644644,-167.734895,5.019,5.654
-82.65647,-170.172579,4.866,5.515
-77.961176,-170.769234,5.082,5.060
-72.840365,-170.080726,5.271,5.055
-67.708812,-169.062900,5.446,5.230
-62.836903,-168.437400,5.621,5.406
-58.032417,-168.174696,5.639,5.541
-53.013998,-168.098349,5.612,5.664
-47.803887,-168.318271,5.686,5.370
-42.974042,-169.462864,5.515,5.313
-39.141051,-172.186719,5.608,5.194
-36.586802,-176.428414,5.278,5.253
-35.241552,-181.374509,5.455,5.061
-34.947192,-186.366385,5.294,5.282
-35.328668,-191.321865,5.341,5.327
-35.971874,-196.267263,5.420,5.345
-36.608979,-201.219124,5.472,5.360
-37.223055,-206.177231,5.463,5.367
-37.82185,-211.139719,5.454,5.375
-38.413117,-216.104724,5.445,5.382
-39.004605,-221.070380,5.437,5.390
-39.603523,-226.034943,5.428,5.397
-40.211404,-230.997941,5.419,5.405
-40.826395,-235.959660,5.410,5.412
-41.446595,-240.920396,5.402,5.420
-42.070105,-245.880444,5.393,5.427
-42.695027,-250.840101,5.384,5.435
-43.319459,-255.799663,5.384,5.437
-43.941503,-260.759427,5.387,5.437
-44.55926,-265.719687,5.389,5.438
-45.170829,-270.680741,5.391,5.438
-45.774312,-275.642884,5.394,5.439
-46.368328,-280.606335,5.396,5.439
-46.954346,-285.570881,5.399,5.440
-47.534806,-290.536166,5.401,5.440
-48.112147,-295.501831,5.404,5.441
-48.688809,-300.467521,5.406,5.441
-49.267233,-305.432875,5.409,5.442
-49.849858,-310.397539,5.411,5.442
-50.439124,-315.361153,5.429,5.436
-51.037471,-320.323360,5.449,5.429
-51.64734,-325.283802,5.470,5.422
-52.27117,-330.242123,5.491,5.415
-52.911401,-335.197964,5.511,5.408
-53.570473,-340.150968,5.532,5.400
-54.250827,-345.100777,5.552,5.393
-54.954901,-350.047035,5.573,5.386
-55.685137,-354.989382,5.594,5.379
-56.443974,-359.927462,5.622,5.351
-57.233853,-364.860917,5.650,5.321
-58.057212,-369.789390,5.679,5.290
-58.916493,-374.712523,5.708,5.260
-59.814135,-379.629958,5.701,5.273
-60.752578,-384.541338,5.657,5.332
-61.734271,-389.446139,5.613,5.391
-62.761718,-394.342920,5.566,5.448
-63.837438,-399.229933,5.488,5.493
-64.963952,-404.105426,5.411,5.537
-66.143779,-408.967648,5.333,5.582
-67.37944,-413.814848,5.293,5.451
-68.673456,-418.645277,5.255,5.309
-70.028346,-423.457182,5.218,5.167
-71.446632,-428.248814,5.180,5.025
-72.930832,-433.018421,5.142,4.883
-74.483466,-437.764254,5.114,4.806
-76.105068,-442.485461,5.087,4.732
-77.790206,-447.183897,5.059,4.658
-79.532331,-451.861920,5.032,4.584
-81.324898,-456.521888,5.004,4.510
-83.161357,-461.166161,4.988,4.489
-85.035162,-465.797097,4.977,4.496
-86.939765,-470.417056,4.965,4.503
-88.868619,-475.028395,4.954,4.510
-90.815175,-479.633474,4.943,4.517
-92.772886,-484.234651,4.932,4.524
-94.735205,-488.834286,4.921,4.531
-96.696405,-493.434437,4.910,4.538
-98.655249,-498.035519,4.898,4.545
-100.612025,-502.637388,4.887,4.552
-102.567024,-507.239901,4.876,4.559
-104.520538,-511.842915,4.865,4.566
-106.472857,-516.446284,4.854,4.573
-108.424272,-521.049865,4.843,4.580
-110.375074,-525.653515,4.832,4.587
-112.325553,-530.257089,4.820,4.594
-114.276001,-534.860443,4.809,4.601
-116.226708,-539.463434,4.798,4.608
-118.177965,-544.065918,4.787,4.615
-120.130063,-548.667750,4.776,4.622
-122.083292,-553.268787,4.765,4.629
-124.037944,-557.868885,4.753,4.636
-125.994309,-562.467900,4.742,4.643
-127.952678,-567.065688,4.731,4.650
-129.913342,-571.662105,4.720,4.657
-131.876591,-576.257008,4.709,4.664
-133.842717,-580.850252,4.698,4.671
-135.81201,-585.441693,4.686,4.678
-137.784761,-590.031188,4.675,4.685
-139.760955,-594.618770,4.664,4.692
-141.738909,-599.205447,4.653,4.699
-143.716369,-603.792554,4.642,4.706
-145.691083,-608.381428,4.631,4.713
-147.6608,-612.973408,4.619,4.720
-149.623265,-617.569830,4.608,4.727
-151.576226,-622.172031,4.597,4.734
-153.517432,-626.781348,4.586,4.741
-155.444629,-631.399119,4.575,4.748
-157.355564,-636.026681,4.564,4.755
-159.247983,-640.665371,4.552,4.762
-161.115452,-645.316992,4.526,4.795
-162.939007,-649.984745,4.474,4.867
-164.697338,-654.672090,4.423,4.939
-166.369136,-659.382489,4.372,5.011
-167.933093,-664.119403,4.381,4.949
-169.3679,-668.886294,4.398,4.868
-170.652249,-673.686623,4.415,4.787
-171.76483,-678.523851,4.512,4.703
-172.684336,-683.401439,4.608,4.618
-173.389458,-688.322848,4.680,4.563
-173.859083,-693.291445,4.723,4.541
-174.087521,-698.303029,4.721,4.521
-174.095405,-703.340491,4.642,4.506
-173.905941,-708.385462,4.607,4.546
-173.542332,-713.419571,4.595,4.611
-173.027779,-718.424449,4.478,4.719
-172.37797,-723.386022,4.306,4.850
-171.586151,-728.303034,4.292,4.827
-170.641397,-733.176615,4.411,4.676
-169.532778,-738.007896,4.493,4.600
-168.249368,-742.798006,4.527,4.623
-166.781287,-747.548194,4.560,4.646
-165.142911,-752.262441,4.620,4.645
-163.372975,-756.947477,4.688,4.636
-161.511281,-761.610150,4.702,4.636
-159.597631,-766.257308,4.705,4.639
-157.671827,-770.895800,4.709,4.641
-155.767955,-775.531658,4.712,4.643
-153.889056,-780.166483,4.715,4.645
-152.027689,-784.800379,4.719,4.648
-150.1764,-789.433447,4.722,4.650
-148.327739,-794.065789,4.726,4.652
-146.474293,-798.697510,4.729,4.654
-144.611867,-803.328777,4.727,4.654
-142.741724,-807.959872,4.720,4.652
-140.865662,-812.591084,4.714,4.650
-138.985479,-817.222706,4.708,4.647
-137.102971,-821.855028,4.702,4.645
-135.219936,-826.488342,4.696,4.643
-133.338171,-831.122940,4.690,4.641
-131.459474,-835.759111,4.684,4.639
-129.58564,-840.397148,4.677,4.637
-127.718469,-845.037341,4.671,4.635
-125.859627,-849.679942,4.665,4.633
-124.007815,-854.324269,4.659,4.631
-122.158751,-858.968706,4.653,4.628
-120.308025,-863.611598,4.647,4.626
-118.451226,-868.251286,4.641,4.624
-116.583944,-872.886113,4.634,4.622
-114.701767,-877.514424,4.628,4.620
-112.800285,-882.134561,4.621,4.641
-110.875087,-886.744868,4.610,4.726
-108.921763,-891.343687,4.600,4.810
-106.935901,-895.929362,4.589,4.895
-104.913049,-900.500204,4.578,4.980
-102.845411,-905.052031,4.567,5.064
-100.719515,-909.576423,4.565,5.115
-98.521333,-914.064547,4.620,4.932
-96.236839,-918.507571,4.674,4.750
-93.852012,-922.896664,4.710,4.622
-91.357738,-927.225379,4.721,4.571
-88.759518,-931.494356,4.731,4.521
-86.065561,-935.705550,4.631,4.624
-83.284073,-939.860918,4.525,4.735
-80.423263,-943.962412,4.457,4.825
-77.491195,-948.011946,4.505,4.850
-74.49262,-952.010419,4.553,4.876
-71.428978,-955.957719,4.597,4.898
-68.301561,-959.853690,4.623,4.905
-65.111663,-963.698176,4.648,4.912
-61.860577,-967.491023,4.673,4.919
-58.549596,-971.232073,4.698,4.926
-55.180015,-974.921171,4.717,4.924
-51.753126,-978.558161,4.719,4.894
-48.270223,-982.142887,4.720,4.864
-44.7326,-985.675193,4.721,4.834
-41.141542,-989.154910,4.722,4.804
-37.497757,-992.580767,4.678,4.855
-33.800973,-995.949625,4.619,4.935
-30.050824,-999.258166,4.559,5.015
-26.246943,-1002.503071,4.587,5.000
-22.388963,-1005.681023,4.748,4.843
-18.476518,-1008.788702,4.909,4.686
-14.50924,-1011.822790,4.852,4.704
-10.486762,-1014.779968,4.661,4.828
-6.408718,-1017.656918,4.470,4.952
-2.274741,-1020.450321,4.326,5.040
1.915377,-1023.157166,4.417,4.940
6.158224,-1025.781487,4.509,4.840
10.446772,-1028.334341,4.601,4.740
14.77384,-1030.827089,4.693,4.727
19.132246,-1033.271092,4.785,4.781
23.514806,-1035.677712,4.878,4.836
27.914341,-1038.058310,4.970,4.891
32.323666,-1040.424247,5.063,4.945
36.7356,-1042.786884,5.155,5.000
41.14296,-1045.157583,5.248,5.054
45.538565,-1047.547704,5.296,5.080
49.915803,-1049.967701,5.259,5.051
54.273929,-1052.418675,5.222,5.021
58.615648,-1054.896234,5.186,4.992
62.943707,-1057.395913,5.149,4.963
67.260855,-1059.913250,5.113,4.934
71.569841,-1062.443779,5.076,4.905
75.873412,-1064.983039,5.040,4.876
80.174319,-1067.526564,5.003,4.846
84.475308,-1070.069891,4.967,4.817
88.779128,-1072.608557,4.930,4.788
93.088528,-1075.138097,4.894,4.759
97.405819,-1077.654765,4.857,4.730
101.730958,-1080.158668,4.821,4.701
106.063114,-1082.651209,4.798,4.688
110.401455,-1085.133791,4.785,4.690
114.745148,-1087.607817,4.773,4.691
119.093361,-1090.074690,4.761,4.693
123.445262,-1092.535812,4.748,4.694
127.800019,-1094.992586,4.736,4.695
132.156798,-1097.446416,4.724,4.697
136.514769,-1099.898705,4.711,4.698
140.873098,-1102.350854,4.699,4.700
145.230783,-1104.804521,4.687,4.701
149.585062,-1107.263967,4.674,4.703
153.932143,-1109.734984,4.662,4.704
158.26822,-1112.223383,4.650,4.705
162.589485,-1114.734975,4.637,4.707
166.892133,-1117.275573,4.701,4.638
171.172357,-1119.850987,4.794,4.542
175.42635,-1122.467029,4.888,4.446
179.650307,-1125.129511,4.981,4.349
183.840421,-1127.844244,5.011,4.311
187.992886,-1130.617039,4.884,4.419
192.104219,-1133.452892,4.756,4.527
196.172688,-1136.352407,4.628,4.635
200.197143,-1139.314719,4.618,4.659
204.176435,-1142.338963,4.704,4.613
208.109416,-1145.424273,4.790,4.568
211.994937,-1148.569783,4.877,4.523
215.831849,-1151.774628,4.963,4.478
219.619003,-1155.037942,5.050,4.433
223.355251,-1158.358860,5.071,4.425
227.039443,-1161.736516,5.013,4.462
230.670433,-1165.170043,4.955,4.500
234.248676,-1168.657372,4.896,4.537
237.779361,-1172.192890,4.838,4.574
241.268545,-1175.770329,4.780,4.612
244.722284,-1179.383423,4.761,4.608
248.146635,-1183.025907,4.757,4.587
251.547656,-1186.691514,4.754,4.566
254.931403,-1190.373978,4.750,4.545
258.303933,-1194.067033,4.747,4.525
261.671302,-1197.764413,4.743,4.504
265.039569,-1201.459851,4.740,4.483
268.414742,-1205.147130,4.722,4.447
271.799337,-1208.823609,4.703,4.411
275.189975,-1212.492677,4.684,4.375
278.582716,-1216.158300,4.665,4.338
281.973618,-1219.824444,4.647,4.302
285.358739,-1223.495076,4.628,4.266
288.734138,-1227.174163,4.609,4.229
292.095874,-1230.865671,4.591,4.193
295.440004,-1234.573565,4.572,4.157
298.762588,-1238.301814,4.553,4.121
302.059683,-1242.054383,4.534,4.084
305.327349,-1245.835237,4.516,4.048
308.562113,-1249.647501,4.497,4.012
311.761889,-1253.491813,4.501,4.027
314.924841,-1257.368357,4.505,4.043
318.049137,-1261.277315,4.509,4.059
321.132941,-1265.218872,4.513,4.075
324.174422,-1269.193210,4.502,4.106
327.171743,-1273.200513,4.463,4.161
330.123072,-1277.240964,4.425,4.216
333.026575,-1281.314747,4.387,4.272
335.880417,-1285.422045,4.349,4.327
338.682766,-1289.563041,4.369,4.364
341.431786,-1293.737918,4.397,4.398
344.125644,-1297.946861,4.425,4.433
346.762506,-1302.190051,4.453,4.468
349.340539,-1306.467673,4.470,4.464
351.857908,-1310.779910,4.478,4.423
354.312779,-1315.126945,4.485,4.383
356.703319,-1319.508962,4.480,4.403
359.027694,-1323.926143,4.471,4.439
361.284069,-1328.378673,4.462,4.476
363.470611,-1332.866734,4.472,4.497
365.585613,-1337.390445,4.604,4.422
367.630245,-1341.948453,4.735,4.347
369.608527,-1346.537948,4.818,4.294
371.524601,-1351.156057,4.789,4.292
373.382611,-1355.799907,4.761,4.289
375.186699,-1360.466625,4.732,4.287
376.941007,-1365.153339,4.709,4.280
378.649678,-1369.857174,4.697,4.263
380.316855,-1374.575259,4.686,4.246
381.946679,-1379.304721,4.675,4.229
383.543294,-1384.042686,4.664,4.212
385.110971,-1388.786433,4.653,4.195
386.655288,-1393.534772,4.642,4.178
388.182588,-1398.287411,4.631,4.161
389.699223,-1403.044066,4.619,4.144
391.211545,-1407.804456,4.608,4.127
392.725894,-1412.568300,4.597,4.109
394.23448,-1417.337691,4.586,4.092
395.68801,-1422.121690,4.569,4.079
397.029604,-1426.930631,4.484,4.111
398.202388,-1431.774850,4.400,4.143
399.149482,-1436.664679,4.383,4.219
399.815436,-1441.609707,4.377,4.302
400.176888,-1446.602677,4.417,4.346
400.242194,-1451.619692,4.486,4.365
400.021056,-1456.636142,4.556,4.378
399.523179,-1461.627422,4.622,4.278
398.758286,-1466.569042,4.689,4.178
397.737482,-1471.445266,4.711,4.147
396.474178,-1476.254956,4.659,4.233
394.982008,-1480.998358,4.606,4.320
393.2746,-1485.675718,4.596,4.359
391.365587,-1490.287283,4.639,4.338
389.267258,-1494.831770,4.683,4.316
386.978426,-1499.292537,4.665,4.377
384.490125,-1503.644074,4.583,4.521
381.793293,-1507.860764,4.523,4.636
378.878869,-1511.916989,4.673,4.463
375.737799,-1515.787140,4.805,4.310
372.369353,-1519.454609,4.752,4.365
368.796952,-1522.928904,4.699,4.420
365.048371,-1526.224241,4.684,4.434
361.151386,-1529.354839,4.731,4.379
357.133773,-1532.334915,4.778,4.324
