x,y,wide_right,wide_left
-3.617752,0.362795,5.976,6.174
-8.443644,1.660289,5.982,6.182
-13.269487,2.957916,5.988,6.190
-18.095271,4.255696,5.995,6.198
-22.920985,5.553652,6.001,6.206
-27.746617,6.851806,6.007,6.214
-32.572157,8.150179,6.013,6.222
-37.397593,9.448793,6.020,6.230
-42.222916,10.747670,6.026,6.238
-47.048113,12.046832,6.032,6.246
-51.873175,13.346300,6.038,6.254
-56.69809,14.646097,6.045,6.262
-61.522847,15.946243,6.051,6.270
-66.347436,17.246762,6.057,6.278
-71.171844,18.547674,6.063,6.285
-75.996063,19.849002,6.070,6.293
-80.82008,21.150767,6.076,6.301
-85.643885,22.452991,6.082,6.309
-90.467466,23.755696,6.088,6.317
-95.290855,25.058806,6.095,6.325
-100.114188,26.361985,6.101,6.333
-104.937624,27.664852,6.107,6.341
-109.761317,28.967030,6.113,6.349
-114.585426,30.268138,6.120,6.357
-119.410107,31.567797,6.126,6.365
-124.235515,32.865628,6.132,6.373
-129.061809,34.161251,6.138,6.381
-133.889144,35.454287,6.145,6.389
-138.717676,36.744356,6.151,6.396
-143.547564,38.031080,6.157,6.404
-148.378962,39.314078,6.163,6.412
-153.212028,40.592972,6.170,6.420
-158.046861,41.867497,6.176,6.428
-162.88241,43.139714,6.182,6.436
-167.716553,44.413847,6.188,6.444
-172.547127,45.694201,6.195,6.452
-177.371969,46.985082,6.201,6.460
-182.188918,48.290794,6.314,6.421
-186.99581,49.615644,6.619,6.298
-191.789297,50.968418,6.923,6.175
-196.554759,52.400485,7.069,6.221
-201.271344,53.986749,6.898,6.608
-205.919048,55.798721,6.724,6.982
-210.496707,57.832595,6.509,6.978
-215.020879,60.013723,6.452,6.891
-219.508812,62.264704,6.614,6.688
-223.975474,64.520077,6.775,6.484
-228.424288,66.774890,6.741,6.368
-232.855025,69.043313,6.583,6.307
-237.267456,71.339524,6.425,6.246
-241.661352,73.677701,6.277,6.175
-246.036485,76.072023,6.192,6.047
-250.392432,78.536180,6.107,5.919
-254.724702,81.073539,6.021,5.791
-259.02492,83.677608,5.891,5.714
-263.284553,86.341502,5.625,5.789
-267.495069,89.058336,5.360,5.863
-271.647936,91.821225,5.462,5.627
-275.734623,94.623283,5.637,5.329
-279.745565,97.465647,5.803,5.039
-283.66106,100.428333,5.677,4.985
-287.455646,103.636160,5.420,5.261
-291.096756,107.210174,5.036,5.663
-294.39956,111.178621,5.055,5.603
-297.032126,115.480092,5.491,5.179
-298.656514,120.049517,5.548,5.026
-299.030561,124.818963,5.458,5.131
-298.407658,129.705669,5.338,4.979
-297.200995,134.622096,5.158,5.347
-295.799701,139.487763,5.193,5.331
-294.358473,144.290758,5.228,5.315
-292.900134,149.057744,5.262,5.301
-291.446029,153.815808,5.293,5.302
-290.011763,158.585300,5.323,5.304
-288.596629,163.367447,5.354,5.305
-287.197045,168.160103,5.385,5.306
-285.809428,172.961120,5.416,5.307
-284.430196,177.768351,5.447,5.308
-283.055767,182.579649,5.478,5.309
-281.682559,187.392869,5.508,5.310
-280.306988,192.205861,5.539,5.312
-278.925473,197.016481,5.570,5.313
-277.534431,201.822581,5.601,5.314
-276.13028,206.622013,5.632,5.315
-274.709437,211.412631,5.662,5.316
-273.26832,216.192289,5.693,5.317
-271.803719,220.959048,5.724,5.318
-270.320706,225.715615,5.755,5.320
-268.832476,230.469256,5.786,5.321
-267.352567,235.227427,5.814,5.324
-265.894516,239.997586,5.736,5.394
-264.471862,244.787188,5.658,5.465
-263.098142,249.603691,5.580,5.536
-261.78273,254.452478,5.503,5.606
-260.492497,259.317765,5.425,5.677
-259.169456,264.171392,5.347,5.748
-257.755306,268.985041,5.269,5.818
-256.191748,273.730393,5.237,5.798
-254.420481,278.379131,5.463,5.258
-252.383204,282.902937,5.569,5.100
-250.030325,287.273598,5.618,5.126
-247.359398,291.463465,5.785,4.987
-244.383859,295.445083,5.965,4.831
-241.117158,299.190992,5.918,4.923
-237.572746,302.673736,5.831,5.058
-233.764071,305.865858,5.745,5.194
-229.70501,308.740542,5.415,5.299
-225.419157,311.285587,4.994,5.394
-220.939757,313.503309,4.869,5.415
-216.300471,315.396648,5.390,5.278
-211.53496,316.968545,5.620,5.184
-206.676886,318.221940,5.644,5.107
-201.75991,319.159773,5.764,4.870
-196.815892,319.787791,5.385,4.770
-191.858079,320.140759,5.276,5.275
