x,y,wide_right,wide_left
0.188516,3.906644,7.431,7.240
3.489193,7.665361,7.428,7.295
6.797448,11.417814,7.426,7.350
10.114041,15.163119,7.424,7.404
13.440007,18.899920,7.422,7.459
16.776394,22.626838,7.420,7.514
20.124249,26.342497,7.418,7.568
23.484619,30.045519,7.449,7.591
26.858552,33.734526,7.561,7.533
30.247094,37.408141,7.673,7.476
33.651293,41.064987,7.785,7.418
37.072777,44.703228,7.897,7.361
40.519086,48.316392,8.009,7.303
44.00121,51.895294,8.056,7.278
47.530179,55.430721,7.851,7.378
51.116963,58.913480,7.646,7.478
54.768029,62.336167,7.442,7.578
58.482343,65.694357,7.237,7.678
62.258155,68.983907,7.246,7.469
66.093718,72.200674,7.295,7.199
69.987296,75.340623,7.345,6.930
73.937379,78.402127,7.395,6.661
77.942684,81.385909,7.184,6.466
82.001934,84.292795,6.901,6.292
86.113856,87.123610,6.618,6.118
90.277173,89.879177,6.335,5.943
94.490612,92.560321,6.052,5.769
98.752895,95.167867,5.903,5.571
103.06275,97.702638,5.791,5.366
107.418961,100.165254,5.680,5.162
111.824641,102.541936,5.568,4.957
116.28999,104.795304,5.457,4.753
120.825867,106.885790,5.317,4.597
125.443129,108.773826,5.033,4.684
130.148891,110.429347,4.750,4.771
134.930916,111.871417,4.767,4.723
139.770732,113.134926,4.856,4.642
144.649863,114.254777,4.945,4.561
149.549839,115.265863,5.004,4.575
154.456868,116.198957,5.079,4.838
159.370391,117.073165,5.331,5.510
164.292167,117.905548,5.554,6.017
169.223959,118.713166,5.731,5.998
174.167321,119.507713,5.985,5.837
179.121808,120.248974,6.203,5.713
184.085853,120.867629,6.250,5.762
189.057877,121.294036,6.297,5.811
194.036235,121.458995,6.311,5.854
199.014892,121.322223,6.180,5.875
203.980779,120.889801,6.049,5.896
208.920193,120.171985,5.799,5.551
213.819431,119.179031,5.537,5.169
218.66479,117.921192,5.274,4.788
223.442566,116.408725,5.057,4.643
228.139058,114.651884,4.869,4.648
232.740562,112.660925,4.681,4.652
237.23338,110.446106,4.801,4.549
241.607184,108.020350,4.958,4.433
245.86091,105.403898,5.055,4.354
249.995068,102.618237,4.917,4.425
254.010171,99.684854,4.780,4.496
257.908431,96.624010,4.642,4.567
261.707935,93.444528,4.667,4.544
265.435421,90.149000,4.706,4.513
269.117711,86.739954,4.744,4.483
272.782058,83.221391,4.782,4.453
276.48188,79.687093,4.820,4.422
280.311406,76.370852,4.735,4.444
284.368404,73.518604,4.366,4.627
288.750639,71.376285,4.225,5.017
293.502241,70.174020,4.387,4.837
298.408936,70.065756,4.310,4.746
303.185508,71.169053,4.364,4.796
307.67534,73.345512,4.523,4.688
311.837039,76.227721,4.642,4.576
315.679082,79.489858,4.740,4.489
319.329342,82.935543,4.837,4.401
322.950568,86.384790,4.935,4.313
326.746279,89.646115,5.032,4.226
330.902561,92.523968,5.130,4.138
335.394671,94.803263,4.542,4.269
340.088404,96.258767,4.444,4.244
344.848622,96.665161,4.604,4.087
349.540666,95.802794,4.734,3.899
354.054596,93.742700,4.330,4.475
358.318119,90.977581,4.311,4.554
362.341045,87.898732,4.394,4.500
366.24812,84.701641,4.480,4.397
370.151115,81.535701,4.554,4.318
374.062372,78.411417,4.554,4.398
377.96616,75.300072,4.554,4.478
381.846745,72.172948,4.554,4.558
385.688407,69.001352,4.553,4.638
389.481126,65.766193,4.645,4.474
393.229066,62.472289,4.733,4.295
396.938565,59.128120,4.725,4.308
400.615959,55.742165,4.717,4.320
404.267584,52.322902,4.708,4.332
407.899779,48.878811,4.700,4.345
411.518879,45.418369,4.692,4.357
415.131222,41.950057,4.683,4.370
418.743145,38.482352,4.675,4.382
422.35984,35.022203,4.667,4.395
425.98142,31.569748,4.658,4.407
429.606585,28.123235,4.650,4.419
433.234037,24.680914,4.642,4.432
436.862474,21.241031,4.633,4.444
440.490599,17.801835,4.625,4.457
444.117111,14.361575,4.617,4.469
447.740711,10.918499,4.608,4.482
451.360099,7.470855,4.600,4.494
454.974175,4.017133,4.592,4.506
458.583465,0.557798,4.578,4.541
462.189294,-2.905714,4.562,4.580
465.792991,-6.371964,4.547,4.620
469.395885,-9.839510,4.531,4.659
472.999305,-13.306912,4.516,4.698
476.604581,-16.772729,4.510,4.709
480.213043,-20.235521,4.507,4.714
483.826018,-23.693847,4.504,4.718
487.444837,-27.146266,4.500,4.723
491.07083,-30.591337,4.497,4.728
494.705324,-34.027620,4.493,4.733
498.349651,-37.453674,4.490,4.738
502.005138,-40.868059,4.486,4.743
505.673116,-44.269333,4.483,4.747
509.354913,-47.656057,4.480,4.752
513.051859,-51.026789,4.476,4.751
516.765284,-54.380089,4.470,4.726
520.49772,-57.712778,4.464,4.701
524.261353,-61.007767,4.459,4.676
528.073001,-64.241279,4.453,4.650
531.949513,-67.389499,4.463,4.622
535.907349,-70.429170,4.507,4.587
539.945708,-73.362088,4.549,4.552
544.039962,-76.224615,4.513,4.589
548.163745,-79.055642,4.476,4.626
552.290689,-81.894056,4.443,4.658
556.396343,-84.775495,4.453,4.643
560.487479,-87.682617,4.464,4.629
564.596266,-90.554976,4.474,4.614
568.755615,-93.330877,4.485,4.600
572.998379,-95.948734,4.481,4.613
577.342369,-98.376994,4.411,4.747
581.769954,-100.654873,4.342,4.881
586.258399,-102.831773,4.420,4.818
590.78497,-104.957098,4.600,4.617
595.327224,-107.079393,4.781,4.416
599.875263,-109.210265,4.690,4.472
604.436231,-111.311132,4.553,4.572
609.018494,-113.339827,4.425,4.667
613.630413,-115.254184,4.451,4.672
618.278048,-117.026385,4.477,4.677
622.957819,-118.688621,4.502,4.682
627.663626,-120.288775,4.495,4.680
632.389369,-121.874728,4.478,4.676
637.129244,-123.491296,4.460,4.672
641.882114,-125.134987,4.472,4.629
646.650561,-126.763802,4.502,4.564
651.43727,-128.334674,4.532,4.499
656.244926,-129.804536,4.552,4.450
661.076214,-131.130322,4.511,4.499
665.933819,-132.268964,4.471,4.548
670.820427,-133.177395,4.386,4.610
675.738723,-133.812550,4.218,4.698
680.691148,-134.132023,4.050,4.785
685.670102,-134.120699,4.055,4.725
690.65462,-133.799778,4.139,4.600
695.622811,-133.192980,4.177,4.478
700.552783,-132.324025,4.054,4.365
705.428399,-131.221400,4.132,4.175
710.256937,-129.933001,4.237,4.006
715.051633,-128.511664,4.235,4.059
719.825722,-127.010220,4.232,4.111
724.592422,-125.481435,4.229,4.163
729.360989,-123.962310,4.227,4.216
734.131758,-122.454343,4.224,4.268
738.903842,-120.954176,4.221,4.320
743.676352,-119.458450,4.219,4.372
748.448401,-117.963805,4.216,4.425
753.219102,-116.466882,4.213,4.477
757.987569,-114.964322,4.211,4.529
762.752913,-113.452767,4.208,4.582
767.514248,-111.928856,4.205,4.634
772.270891,-110.389978,4.205,4.619
777.022989,-108.836508,4.204,4.604
781.77089,-107.269570,4.203,4.589
786.514945,-105.690284,4.202,4.575
791.255504,-104.099775,4.202,4.560
795.992918,-102.499164,4.201,4.545
800.727537,-100.889575,4.200,4.530
805.459712,-99.272129,4.199,4.515
810.189792,-97.647949,4.199,4.500
814.918128,-96.018158,4.198,4.485
819.64507,-94.383878,4.197,4.471
824.370969,-92.746232,4.196,4.456
829.096175,-91.106342,4.195,4.441
833.821039,-89.465331,4.195,4.426
838.54591,-87.824321,4.194,4.411
843.271139,-86.184436,4.193,4.396
847.997076,-84.546796,4.192,4.381
852.724072,-82.912526,4.192,4.367
857.45239,-81.282473,4.191,4.352
862.181957,-79.656412,4.190,4.337
866.912615,-78.033853,4.189,4.322
871.644207,-76.414306,4.188,4.307
876.376576,-74.797282,4.188,4.292
881.109565,-73.182293,4.187,4.277
885.843017,-71.568848,4.186,4.263
890.576774,-69.956459,4.185,4.248
895.310679,-68.344636,4.185,4.233
900.044575,-66.732890,4.184,4.218
904.778306,-65.120730,4.183,4.203
909.511713,-63.507669,4.182,4.188
914.244641,-61.893217,4.182,4.173
918.97693,-60.276884,4.181,4.159
923.708426,-58.658181,4.184,4.150
928.438969,-57.036619,4.197,4.155
933.168404,-55.411709,4.210,4.161
937.896573,-53.782960,4.224,4.166
942.623383,-52.150080,4.237,4.172
947.348987,-50.513527,4.250,4.177
952.073599,-48.873939,4.263,4.183
956.797432,-47.231956,4.276,4.188
961.520697,-45.588215,4.290,4.194
966.243607,-43.943356,4.303,4.200
970.966377,-42.298018,4.316,4.205
975.689217,-40.652839,4.329,4.211
980.412342,-39.008459,4.342,4.216
985.135964,-37.365515,4.356,4.222
989.860295,-35.724646,4.369,4.227
994.585548,-34.086492,4.382,4.233
999.311937,-32.451691,4.395,4.238
1004.039673,-30.820882,4.408,4.244
1008.768971,-29.194704,4.422,4.249
1013.500041,-27.573794,4.435,4.255
1018.233098,-25.958793,4.448,4.261
1022.968354,-24.350339,4.461,4.266
