x,y,wide_right,wide_left
2.665468,-5.851932,6.854,6.873
7.624946,-6.501345,6.854,6.999
12.584167,-7.152327,6.855,7.126
17.543125,-7.804909,6.855,7.212
22.501812,-8.459126,6.857,7.183
27.460221,-9.115011,6.858,7.154
32.418346,-9.772597,6.860,7.126
37.37618,-10.431917,6.861,7.097
42.333714,-11.093005,6.863,7.068
47.290943,-11.755893,6.865,7.039
52.24786,-12.420615,6.866,7.010
57.204458,-13.087192,6.868,6.981
62.160849,-13.754728,6.869,6.953
67.117337,-14.420816,6.871,6.924
72.074242,-15.082911,6.872,6.895
77.031885,-15.738466,6.874,6.866
81.990588,-16.384934,6.876,6.837
86.950672,-17.019767,6.877,6.808
91.912458,-17.640421,6.879,6.780
96.876266,-18.244347,6.880,6.751
101.842213,-18.832423,6.882,6.722
106.809346,-19.423282,6.884,6.693
111.776366,-20.041300,6.885,6.664
116.741975,-20.710855,6.887,6.635
121.703411,-21.459144,6.888,6.607
126.626583,-22.373753,6.922,6.574
131.447296,-23.600273,6.983,6.539
136.100143,-25.286643,6.862,6.597
140.519618,-27.580761,6.650,6.702
144.559321,-30.599555,6.960,6.593
147.845487,-34.372729,7.191,6.881
150.07355,-38.829925,6.983,6.534
151.239057,-43.666939,6.598,5.818
151.424881,-48.569200,6.159,6.000
151.042462,-53.491424,5.922,6.021
150.623075,-58.517362,5.926,5.796
150.193497,-63.597250,5.989,5.709
149.512551,-68.610316,6.160,5.873
148.446874,-73.487426,6.330,6.038
147.031689,-78.239365,6.205,6.147
145.316435,-82.883657,6.118,6.203
143.350555,-87.437829,6.256,6.064
141.183489,-91.919405,6.381,5.940
138.864678,-96.345912,6.360,5.992
136.443563,-100.734874,6.340,6.045
133.969585,-105.103817,6.320,6.097
131.490819,-109.469787,6.300,6.150
129.029604,-113.840786,6.280,6.202
126.585332,-118.216755,6.260,6.254
124.156596,-122.597352,6.240,6.307
121.741987,-126.982236,6.220,6.359
119.340096,-131.371066,6.200,6.412
116.949514,-135.763501,6.197,6.422
114.568833,-140.159198,6.218,6.376
112.196644,-144.557817,6.238,6.330
109.831539,-148.959016,6.259,6.284
107.472108,-153.362454,6.279,6.239
105.116944,-157.767790,6.300,6.193
102.764637,-162.174682,6.320,6.147
100.413779,-166.582789,6.340,6.101
98.062961,-170.991769,6.361,6.055
95.710775,-175.401282,6.381,6.009
93.355811,-179.810985,6.402,5.964
90.996751,-184.220596,6.422,5.918
88.637021,-188.632879,6.443,5.872
86.287068,-193.055112,6.463,5.826
83.957907,-197.494936,6.484,5.780
81.66055,-201.959993,6.504,5.734
79.390465,-206.446030,6.524,5.689
77.071384,-210.893921,6.545,5.643
74.60637,-215.228724,6.565,5.597
71.898481,-219.375498,6.586,5.551
68.854407,-223.261273,6.230,5.956
65.445222,-226.848079,5.986,6.184
61.697268,-230.127990,6.105,5.902
57.638685,-233.094055,6.015,5.677
53.297637,-235.738991,5.801,5.485
48.711706,-237.932064,5.424,5.330
43.941928,-239.235725,5.267,5.126
39.050474,-239.432243,5.441,4.862
34.093447,-238.961609,5.431,4.867
29.121851,-238.322531,5.422,4.873
24.152406,-237.679744,5.412,4.879
19.185053,-237.034510,5.403,4.884
14.219618,-236.386979,5.393,4.890
9.255926,-235.737296,5.383,4.896
4.293805,-235.085610,5.374,4.901
-0.66692,-234.432068,5.364,4.907
-5.626423,-233.776816,5.355,4.913
-10.584877,-233.120004,5.345,4.918
-15.542457,-232.461777,5.336,4.924
-20.499337,-231.802283,5.326,4.930
-25.455689,-231.141671,5.317,4.936
-30.411689,-230.480086,5.307,4.941
-35.36751,-229.817676,5.298,4.947
-40.323325,-229.154590,5.288,4.953
-45.27931,-228.490974,5.279,4.958
-50.235637,-227.826975,5.269,4.964
-55.192474,-227.162742,5.260,4.970
-60.149863,-226.498447,5.250,4.975
-65.107746,-225.834278,5.240,4.981
-70.066063,-225.170424,5.231,4.987
-75.024752,-224.507076,5.221,4.992
-79.983753,-223.844424,5.212,4.998
-84.943003,-223.182655,5.202,5.004
-89.902443,-222.521962,5.193,5.009
-94.862011,-221.862532,5.183,5.015
-99.821647,-221.204555,5.174,5.021
-104.781288,-220.548222,5.164,5.027
-109.740874,-219.893722,5.155,5.032
-114.700345,-219.241244,5.145,5.038
-119.659639,-218.590978,5.136,5.044
-124.618694,-217.943113,5.126,5.049
-129.577451,-217.297840,5.117,5.055
-134.535847,-216.655348,5.107,5.061
-139.493813,-216.015614,5.097,5.066
-144.450842,-215.369410,5.088,5.072
-149.405838,-214.694958,5.078,5.078
-154.357661,-213.969579,5.072,5.074
-159.305232,-213.171898,5.091,5.007
-164.250024,-212.336515,5.110,4.940
-169.196978,-211.574021,5.128,4.872
-174.151282,-211.000424,4.980,5.094
-179.118123,-210.731735,4.794,5.382
-184.099439,-210.850580,4.871,5.272
-189.083606,-211.300299,4.956,5.243
-194.055461,-211.987907,5.044,5.257
-198.999843,-212.820419,5.133,5.271
-203.903604,-213.706629,5.222,5.284
-208.785179,-214.583237,5.311,5.298
-213.688084,-215.409101,5.400,5.312
-218.656528,-216.143694,5.489,5.326
-223.734003,-216.747638,5.578,5.339
-228.790195,-217.460907,5.666,5.353
-233.296384,-219.162942,5.046,5.629
-236.804826,-222.391696,4.559,5.795
-239.180572,-226.698949,5.286,5.764
-240.385659,-231.531340,5.754,5.928
-240.766876,-236.566910,5.820,6.188
-240.802534,-241.606879,5.834,6.193
-240.707842,-246.608550,5.847,6.197
-240.582175,-251.596548,5.861,6.202
-240.479429,-256.585311,5.875,6.206
-240.396862,-261.576112,5.889,6.211
-240.328127,-266.569384,5.903,6.215
-240.266875,-271.565563,5.917,6.220
-240.206756,-276.565082,5.931,6.224
-240.141424,-281.568376,5.944,6.229
-240.064528,-286.575878,5.958,6.233
-239.969721,-291.588024,5.972,6.238
-239.85207,-296.604901,5.986,6.242
-239.726578,-301.621732,6.000,6.247
-239.62298,-306.630144,6.014,6.251
-239.571357,-311.621679,6.028,6.255
-239.593861,-316.589123,6.042,6.260
-239.601684,-321.542673,6.055,6.264
-239.424359,-326.505342,6.069,6.269
-238.889523,-331.500437,5.860,6.093
-237.824395,-336.549377,5.473,5.751
-235.986627,-341.360706,5.055,5.631
-232.989329,-344.987303,4.616,5.947
-228.74321,-346.951991,4.797,5.427
-223.81552,-347.926827,4.941,5.198
-218.785822,-348.643625,4.967,5.194
-213.802977,-349.317396,4.992,5.190
-208.85089,-349.965216,5.018,5.185
-203.913132,-350.603755,5.043,5.181
-198.973571,-351.249368,5.068,5.177
-194.024573,-351.909398,5.094,5.173
-189.068008,-352.581109,5.119,5.169
-184.106249,-353.261230,5.145,5.164
-179.141666,-353.946496,5.170,5.160
-174.176631,-354.633635,5.196,5.156
-169.213515,-355.319382,5.221,5.152
-164.254691,-356.000466,5.246,5.148
-159.302529,-356.673620,5.272,5.143
-154.358857,-357.336273,5.297,5.139
-149.419036,-357.994145,5.323,5.135
-144.474186,-358.658395,5.348,5.131
-139.515353,-359.340275,5.374,5.127
-134.534093,-360.052608,5.399,5.122
-129.576722,-360.976989,5.145,5.255
-124.797692,-362.611914,5.089,5.148
-120.913413,-365.484538,6.244,5.282
-119.211151,-369.776594,6.118,5.505
-119.508904,-374.677671,6.069,5.548
-120.76693,-379.713016,6.078,5.573
-121.924267,-384.647159,6.086,5.598
-122.872783,-389.500183,6.094,5.623
-123.80679,-394.366291,6.103,5.648
-124.770968,-399.261202,6.111,5.673
-125.758286,-404.173537,6.119,5.698
-126.76166,-409.091889,6.128,5.723
-127.774093,-414.005136,6.136,5.748
-128.790585,-418.908890,6.145,5.773
-129.808169,-423.805617,6.153,5.798
-130.823969,-428.698091,6.161,5.823
-131.835108,-433.589085,6.170,5.848
-132.838712,-438.481372,6.178,5.873
-133.831904,-443.377726,6.186,5.898
-134.811808,-448.280921,6.195,5.923
-135.775548,-453.193729,6.203,5.948
-136.724144,-458.117410,6.211,5.973
-137.69929,-463.037412,6.220,5.998
-138.766888,-467.929772,6.228,6.023
-139.993162,-472.770403,6.240,5.953
-141.445092,-477.534681,6.257,5.711
-143.248694,-482.156175,6.275,5.469
-145.628149,-486.498287,5.981,5.756
-148.653045,-490.485578,5.850,5.952
-152.11771,-494.156627,5.942,5.989
-155.814397,-497.561235,6.084,5.908
-159.66391,-500.751061,6.236,5.801
-163.629604,-503.778381,6.341,5.728
-167.674861,-506.695473,6.357,5.722
-171.763788,-509.553601,6.373,5.715
-175.876511,-512.381689,6.389,5.708
-180.008815,-515.186814,6.405,5.702
-184.157138,-517.975145,6.421,5.695
-188.31792,-520.752847,6.436,5.688
-192.487558,-523.525355,6.452,5.682
-196.66233,-526.296003,6.468,5.675
-200.838492,-529.067744,6.484,5.668
-205.012298,-531.843535,6.500,5.662
-209.180006,-534.626330,6.516,5.655
-213.33787,-537.419085,6.531,5.648
-217.482146,-540.224754,6.547,5.642
-221.60909,-543.046293,6.563,5.635
-225.716046,-545.885457,6.579,5.628
-229.811066,-548.732185,6.595,5.622
-233.908293,-551.569699,6.610,5.615
-238.021941,-554.381142,6.626,5.608
-242.166224,-557.149657,6.642,5.602
-246.355354,-559.858389,6.658,5.595
-250.603545,-562.490480,6.674,5.588
-254.92501,-565.029074,6.690,5.582
-259.333963,-567.457314,6.463,5.857
-263.842292,-569.745643,6.130,6.256
-268.449956,-571.799327,5.964,6.402
-273.153098,-573.502786,5.986,6.269
-277.94786,-574.740431,6.098,6.121
-282.827662,-575.426286,6.246,5.936
-287.772052,-575.625373,6.416,5.728
-292.756166,-575.450713,6.412,5.727
-297.75514,-575.015345,6.383,5.813
