x,y,wide_right,wide_left
1.472761,2.195896,6.687000,6.387000
3.633185,6.710151,6.669000,6.414000
5.788143,11.227405,6.652000,6.440000
7.938434,15.747155,6.634000,6.467000
10.084857,20.268900,6.617000,6.493000
12.228210,24.792135,6.599000,6.520000
14.369293,29.316360,6.582000,6.546000
16.508904,33.841070,6.564000,6.572000
18.647844,38.365765,6.547000,6.599000
20.786910,42.889940,6.529000,6.625000
22.926902,47.413094,6.512000,6.652000
25.068620,51.934725,6.494000,6.678000
27.212861,56.454328,6.477000,6.705000
29.360425,60.971403,6.459000,6.731000
31.512150,65.485494,6.442000,6.758000
33.668994,69.996302,6.424000,6.784000
35.831941,74.503553,6.407000,6.811000
38.001973,79.006976,6.389000,6.837000
40.180071,83.506299,6.372000,6.863000
42.367219,88.001250,6.354000,6.890000
44.564399,92.491556,6.337000,6.916000
46.772592,96.976945,6.326000,6.928000
48.992782,101.457146,6.332000,6.899000
51.225951,105.931887,6.339000,6.871000
53.473081,110.400894,6.345000,6.842000
55.735154,114.863898,6.352000,6.813000
58.013153,119.320624,6.358000,6.785000
60.308060,123.770802,6.365000,6.756000
62.620022,128.214393,6.371000,6.728000
64.946668,132.652062,6.378000,6.699000
67.285150,137.084609,6.384000,6.670000
69.632620,141.512833,6.391000,6.642000
71.986230,145.937531,6.397000,6.613000
74.343135,150.359504,6.404000,6.585000
76.700486,154.779550,6.410000,6.556000
79.055435,159.198467,6.417000,6.527000
81.405136,163.617055,6.423000,6.499000
83.746741,168.036112,6.430000,6.470000
86.077403,172.456437,6.436000,6.441000
88.394274,176.878830,6.443000,6.413000
90.694506,181.304088,6.449000,6.384000
92.975253,185.733011,6.456000,6.356000
95.234657,190.166437,6.462000,6.327000
97.480951,194.605600,6.469000,6.298000
99.728261,199.051969,6.425000,6.278000
101.990790,203.507014,6.333000,6.267000
104.282740,207.972205,6.242000,6.255000
106.618313,212.449012,6.150000,6.244000
109.011710,216.938908,6.059000,6.232000
111.468537,221.443807,5.967000,6.220000
113.804274,225.975516,5.958000,6.134000
115.648388,230.555511,6.370000,5.667000
116.622572,235.205673,6.781000,5.201000
116.440104,239.937660,6.923000,5.583000
115.292688,244.709722,6.935000,6.377000
113.527733,249.462731,6.840000,6.502000
111.490655,254.138169,6.703000,6.367000
109.402916,258.714790,6.566000,6.231000
107.294125,263.229026,6.429000,6.095000
105.177420,267.722261,6.292000,5.960000
103.064056,272.232066,6.155000,5.824000
100.948127,276.761260,6.018000,5.688000
98.814549,281.294085,5.881000,5.553000
96.648164,285.814616,5.934000,5.607000
94.439614,290.311954,6.042000,5.715000
92.194947,294.788546,6.149000,5.823000
89.922740,299.249030,6.257000,5.931000
87.631570,303.698044,6.364000,6.039000
85.330011,308.140226,6.472000,6.147000
83.026642,312.580212,6.579000,6.255000
80.730037,317.022641,6.687000,6.363000
78.445902,321.470670,6.794000,6.471000
76.166336,325.920438,6.902000,6.579000
73.879411,330.366008,7.009000,6.687000
71.573200,334.801444,7.116000,6.795000
69.235774,339.220808,7.224000,6.903000
66.855204,343.618162,7.292000,6.995000
64.419562,347.987571,7.324000,7.074000
61.917739,352.323277,7.356000,7.153000
59.345784,356.621108,7.388000,7.231000
56.703447,360.877709,7.412000,7.250000
53.990510,365.089731,7.426000,7.193000
51.206755,369.253827,7.440000,7.137000
48.351962,373.366649,7.454000,7.080000
45.425914,377.424849,7.468000,7.023000
42.429256,381.426243,7.480000,6.977000
39.366614,385.374005,7.466000,7.050000
36.243757,389.272849,7.452000,7.124000
33.066456,393.127490,7.439000,7.197000
29.840480,396.942643,7.425000,7.270000
26.571600,400.723023,7.432000,7.292000
23.265586,404.473345,7.449000,7.294000
19.928207,408.198323,7.465000,7.296000
16.565234,411.902673,7.481000,7.298000
13.182436,415.591108,7.498000,7.300000
9.785584,419.268344,7.514000,7.302000
6.380447,422.939096,7.530000,7.304000
2.972796,426.608079,7.457000,7.234000
-0.431599,430.280007,7.127000,6.956000
-3.827211,433.959391,6.797000,6.678000
-7.212713,437.647195,6.467000,6.400000
-10.590344,441.341376,6.136000,6.121000
-13.962455,445.039794,5.806000,5.843000
-17.331397,448.740311,5.476000,5.565000
-20.699522,452.440787,5.146000,5.287000
-24.069180,456.139084,4.816000,5.009000
-27.442722,459.833062,4.485000,4.730000
-30.822501,463.520583,4.155000,4.452000
-34.210866,467.199508,3.825000,4.174000
-37.610170,470.867697,3.946000,4.164000
-41.022763,474.523012,4.173000,4.216000
-44.450996,478.163313,4.400000,4.268000
-47.897221,481.786463,4.627000,4.321000
-51.363660,485.390439,4.854000,4.373000
-54.850383,488.975211,5.070000,4.425000
-58.355679,492.542390,5.051000,4.471000
-61.877781,496.093637,5.032000,4.517000
-65.414925,499.630615,5.013000,4.562000
-68.965345,503.154985,4.995000,4.608000
-72.527276,506.668408,4.976000,4.653000
-76.098952,510.172546,4.957000,4.699000
-79.678609,513.669062,4.938000,4.745000
-83.264480,517.159616,4.919000,4.790000
-86.854801,520.645871,4.901000,4.836000
-90.447806,524.129487,4.882000,4.882000
-94.041730,527.612127,4.863000,4.927000
-97.634807,531.095452,4.886000,4.984000
-101.225275,534.581123,4.949000,5.051000
-104.811946,538.070261,5.013000,5.119000
-108.394988,541.562730,5.077000,5.186000
-111.974760,545.058214,5.140000,5.254000
-115.551624,548.556395,5.204000,5.321000
-119.125938,552.056956,5.267000,5.389000
-122.698065,555.559582,5.331000,5.456000
-126.268363,559.063954,5.395000,5.523000
-129.837194,562.569755,5.458000,5.591000
-133.404918,566.076670,5.522000,5.658000
-136.971895,569.584381,5.585000,5.726000
-140.538486,573.092570,5.649000,5.793000
-144.105051,576.600922,5.713000,5.861000
-147.671950,580.109119,5.776000,5.928000
-151.239541,583.616846,5.840000,5.996000
-154.807532,587.124409,5.903000,6.063000
-158.374149,590.633526,5.967000,6.131000
-161.937410,594.146110,6.030000,6.198000
-165.495333,597.664078,6.094000,6.265000
-169.045936,601.189344,6.151000,6.306000
-172.587240,604.723822,6.208000,6.341000
-176.117261,608.269428,6.264000,6.377000
-179.634019,611.828077,6.320000,6.412000
-183.135532,615.401683,6.376000,6.447000
-186.619818,618.992161,6.432000,6.482000
-190.084897,622.601426,6.488000,6.518000
-193.528786,626.231392,6.509000,6.575000
-196.949505,629.883976,6.520000,6.638000
-200.345072,633.561091,6.532000,6.702000
-203.714949,637.263159,6.543000,6.765000
-207.069234,640.979607,6.555000,6.828000
-210.422777,644.694949,6.582000,6.873000
-213.790450,648.393674,6.751000,6.746000
-217.187126,652.060274,6.920000,6.619000
-220.627675,655.679239,7.089000,6.492000
-224.126971,659.235059,7.258000,6.365000
-227.710721,662.695945,7.427000,6.238000
